field_key,src_table,label,abbreviation,dict_category,dict_unit,param_type,specimen,n_rows,n_keys,n_numeric,n_with_uom,unit_observed,p01,p50,p99,unit_recovery_rate,numeric_rate,dtype_inferred,coverage,missing_rate,obs_per_key
heartrate,eicu.vitalPeriodic,heartrate,,,,,,111948231,108927,111948231,0,,49.878,84.4107,132.7193,0.0,1.0,numeric,0.9879,0.0121,1027.736
sao2,eicu.vitalPeriodic,sao2,,,,,,102444806,108289,102444806,0,,86.115,97.0,100.0,0.0,1.0,numeric,0.9822,0.0178,946.032
respiration,eicu.vitalPeriodic,respiration,,,,,,98620481,101537,98620481,0,,2.8661,19.0189,40.0041,0.0,1.0,numeric,0.9209,0.0791,971.276
st2,eicu.vitalPeriodic,st2,,,,,,44356498,53875,44356498,0,,-2.0452,0.0,78.5921,0.0,1.0,numeric,0.4886,0.5114,823.322
st1,eicu.vitalPeriodic,st1,,,,,,41960782,52072,41960782,0,,-1.4628,0.0,45.4801,0.0,1.0,numeric,0.4723,0.5277,805.822
st3,eicu.vitalPeriodic,st3,,,,,,40946032,50774,40946032,0,,-1.7285,0.0,64.0892,0.0,1.0,numeric,0.4605,0.5395,806.437
systemicmean,eicu.vitalPeriodic,systemicmean,,,,,,22354840,32201,22354840,0,,49.0536,77.9999,135.8375,0.0,1.0,numeric,0.2921,0.7079,694.228
systemicsystolic,eicu.vitalPeriodic,systemicsystolic,,,,,,22178536,31997,22178536,0,,71.1829,120.8097,191.0564,0.0,1.0,numeric,0.2902,0.7098,693.144
systemicdiastolic,eicu.vitalPeriodic,systemicdiastolic,,,,,,22177450,31995,22177450,0,,33.2179,57.9996,103.0512,0.0,1.0,numeric,0.2902,0.7098,693.154
noninvasivemean,eicu.vitalAperiodic,noninvasivemean,,,,,,16955382,108509,16955382,0,,46.3446,79.4461,131.6301,0.0,1.0,numeric,0.9841,0.0159,156.258
noninvasivediastolic,eicu.vitalAperiodic,noninvasivediastolic,,,,,,16864898,108495,16864898,0,,32.9808,63.5874,111.9014,0.0,1.0,numeric,0.984,0.016,155.444
noninvasivesystolic,eicu.vitalAperiodic,noninvasivesystolic,,,,,,16863126,108493,16863126,0,,72.3281,119.085,186.2091,0.0,1.0,numeric,0.984,0.016,155.431
cvp,eicu.vitalPeriodic,cvp,,,,,,15793718,21513,15793718,0,,-3.9656,11.9587,332.6092,0.0,1.0,numeric,0.1951,0.8049,734.148
Vital Signs|Heart Rate|Heart Rate,eicu.nurseCharting,Vital Signs|Heart Rate|Heart Rate,,,,,,12850933,102895,12850933,0,,49.6469,85.0003,136.5001,0.0,1.0,numeric,0.9332,0.0668,124.894
Vital Signs|Respiratory Rate|Respiratory Rate,eicu.nurseCharting,Vital Signs|Respiratory Rate|Respiratory Rate,,,,,,11914385,99733,11914385,0,,8.6439,19.0,38.4812,0.0,1.0,numeric,0.9046,0.0954,119.463
temperature,eicu.vitalPeriodic,temperature,,,,,,10833234,14288,10833234,0,,33.051,37.2979,99.8061,0.0,1.0,numeric,0.1296,0.8704,758.205
Vital Signs|O2 Saturation|O2 Saturation,eicu.nurseCharting,Vital Signs|O2 Saturation|O2 Saturation,,,,,,10590118,92423,10590118,0,,86.4038,97.0,100.0,0.0,1.0,numeric,0.8383,0.1617,114.583
Vital Signs|Non-Invasive BP|Non-Invasive BP Systolic,eicu.nurseCharting,Vital Signs|Non-Invasive BP|Non-Invasive BP Systolic,,,,,,9992195,101825,9992195,0,,75.9022,120.9278,186.7484,0.0,1.0,numeric,0.9235,0.0765,98.131
Vital Signs|Non-Invasive BP|Non-Invasive BP Diastolic,eicu.nurseCharting,Vital Signs|Non-Invasive BP|Non-Invasive BP Diastolic,,,,,,9992144,101833,9992144,0,,34.5776,64.8134,108.6779,0.0,1.0,numeric,0.9236,0.0764,98.123
Vital Signs|Non-Invasive BP|Non-Invasive BP Mean,eicu.nurseCharting,Vital Signs|Non-Invasive BP|Non-Invasive BP Mean,,,,,,8408076,97407,8408076,0,,48.3978,79.9593,128.4646,0.0,1.0,numeric,0.8835,0.1165,86.319
Vital Signs|Temperature|Temperature (C),eicu.nurseCharting,Vital Signs|Temperature|Temperature (C),,,,,,4591818,106510,4591818,0,,34.1363,36.9,39.2124,0.0,1.0,numeric,0.966,0.034,43.112
Vital Signs|Temperature|Temperature (F),eicu.nurseCharting,Vital Signs|Temperature|Temperature (F),,,,,,4591595,106510,4591595,0,,93.4332,98.4,102.5794,0.0,1.0,numeric,0.966,0.034,43.11
etco2,eicu.vitalPeriodic,etco2,,,,,,3733640,6342,3733640,0,,0.0,31.986,58.448,0.0,1.0,numeric,0.0575,0.9425,588.716
pamean,eicu.vitalPeriodic,pamean,,,,,,3339927,8304,3339927,0,,10.1599,25.805,55.0721,0.0,1.0,numeric,0.0753,0.9247,402.207
pasystolic,eicu.vitalPeriodic,pasystolic,,,,,,3318020,8230,3318020,0,,16.3026,36.0,80.9944,0.0,1.0,numeric,0.0746,0.9254,403.162
padiastolic,eicu.vitalPeriodic,padiastolic,,,,,,3317674,8232,3317674,0,,4.9751,18.6267,41.3128,0.0,1.0,numeric,0.0747,0.9253,403.022
Vital Signs|Temperature|Temperature Location,eicu.nurseCharting,Vital Signs|Temperature|Temperature Location,,,,,,2898825,85164,62680,0,,1.0,1.0,103.0,0.0,0.0216,categorical,0.7724,0.2276,34.038
Vital Signs|Invasive BP|Invasive BP Diastolic,eicu.nurseCharting,Vital Signs|Invasive BP|Invasive BP Diastolic,,,,,,2592898,29455,2592898,0,,32.8036,57.9975,100.5328,0.0,1.0,numeric,0.2671,0.7329,88.029
Vital Signs|Invasive BP|Invasive BP Systolic,eicu.nurseCharting,Vital Signs|Invasive BP|Invasive BP Systolic,,,,,,2592192,29473,2592192,0,,70.9727,119.6694,190.3967,0.0,1.0,numeric,0.2673,0.7327,87.951
Scores|Glasgow coma score|GCS Total,eicu.nurseCharting,Scores|Glasgow coma score|GCS Total,,,,,,2363928,82103,2302487,0,,3.0,14.0679,15.0,0.0,0.974,numeric,0.7447,0.2553,28.792
icp,eicu.vitalPeriodic,icp,,,,,,2326951,1319,2326951,0,,-10.4286,7.0221,35.7831,0.0,1.0,numeric,0.012,0.988,1764.178
respFlowSettings|FiO2,eicu.respiratoryCharting,respFlowSettings|FiO2,,,,,,2304713,49942,2303908,0,,19.8953,40.0,100.0,0.0,0.9997,numeric,0.453,0.547,46.148
bedside glucose,eicu.lab,bedside glucose,,,,,,2275585,77974,2271025,2275585,mg/dL,60.1111,138.0807,373.8384,1.0,0.998,numeric,0.7072,0.2928,29.184
Vital Signs|Invasive BP|Invasive BP Mean,eicu.nurseCharting,Vital Signs|Invasive BP|Invasive BP Mean,,,,,,2182995,26453,2182995,0,,48.1701,77.2274,129.4956,0.0,1.0,numeric,0.2399,0.7601,82.524
Scores|Glasgow coma score|Eyes,eicu.nurseCharting,Scores|Glasgow coma score|Eyes,,,,,,1996612,71980,1925587,0,,1.0,4.0,4.0,0.0,0.9644,numeric,0.6528,0.3472,27.738
Scores|Glasgow coma score|Motor,eicu.nurseCharting,Scores|Glasgow coma score|Motor,,,,,,1994837,71980,1923913,0,,1.0,6.0,6.0,0.0,0.9644,numeric,0.6528,0.3472,27.714
Scores|Glasgow coma score|Verbal,eicu.nurseCharting,Scores|Glasgow coma score|Verbal,,,,,,1990208,71927,1903526,0,,1.0,5.0,5.0,0.0,0.9564,numeric,0.6524,0.3476,27.67
respFlowPtVentData|RR (patient),eicu.respiratoryCharting,respFlowPtVentData|RR (patient),,,,,,1736597,34534,1736597,0,,2.65,19.0,37.02,0.0,1.0,numeric,0.3132,0.6868,50.287
Scores|Pain Score/Goal|Pain Score,eicu.nurseCharting,Scores|Pain Score/Goal|Pain Score,,,,,,1734121,44967,1734121,0,,-0.2422,0.0,10.0,0.0,1.0,numeric,0.4078,0.5922,38.564
Vital Signs|O2 L/%|O2 L/%,eicu.nurseCharting,Vital Signs|O2 L/%|O2 L/%,,,,,,1438199,46020,1438199,0,,0.6742,4.0,100.0,0.0,1.0,numeric,0.4174,0.5826,31.252
svr,eicu.vitalAperiodic,svr,,,,,,1334428,3838,1334428,0,,376.4036,980.2386,2311.681,0.0,1.0,numeric,0.0348,0.9652,347.688
respFlowSettings|PEEP,eicu.respiratoryCharting,respFlowSettings|PEEP,,,,,,1198212,32902,1198211,0,,0.9937,5.0,16.0513,0.0,1.0,numeric,0.2984,0.7016,36.418
Scores|Sedation Scale/Score/Goal|Sedation Scale,eicu.nurseCharting,Scores|Sedation Scale/Score/Goal|Sedation Scale,,,,,,1122451,29209,0,0,,,,,0.0,0.0,categorical,0.2649,0.7351,38.428
Scores|Sedation Scale/Score/Goal|Sedation Score,eicu.nurseCharting,Scores|Sedation Scale/Score/Goal|Sedation Score,,,,,,1105241,28695,1105241,0,,-5.0,0.0,4.0,0.0,1.0,numeric,0.2603,0.7397,38.517
potassium,eicu.lab,potassium,,,,,,1065018,108812,1064811,1065018,mmol/L,2.7642,3.9939,6.0732,1.0,0.9998,numeric,0.9869,0.0131,9.788
cardiacoutput,eicu.vitalAperiodic,cardiacoutput,,,,,,1056392,4208,1056392,0,,0.0,4.4896,9.3957,0.0,1.0,numeric,0.0382,0.9618,251.044
sodium,eicu.lab,sodium,,,,,,991978,109166,991890,991978,mmol/L,121.759,138.8846,155.2957,1.0,0.9999,numeric,0.9901,0.0099,9.087
Vital Signs|O2 Admin Device|O2 Admin Device,eicu.nurseCharting,Vital Signs|O2 Admin Device|O2 Admin Device,,,,,,975703,22867,952,0,,0.3639,95.0,100.0,0.0,0.001,categorical,0.2074,0.7926,42.669
respFlowPtVentData|Total RR,eicu.respiratoryCharting,respFlowPtVentData|Total RR,,,,,,970136,23515,970136,0,,9.9997,18.6764,38.0296,0.0,1.0,numeric,0.2133,0.7867,41.256
glucose,eicu.lab,glucose,,,,,,934056,108820,933896,934056,mg/dL,64.3861,124.5463,425.6244,1.0,0.9998,numeric,0.987,0.013,8.583
respFlowSettings|Vent Rate,eicu.respiratoryCharting,respFlowSettings|Vent Rate,,,,,,923783,28066,923783,0,,1.445,16.0,34.6474,0.0,1.0,numeric,0.2546,0.7454,32.915
Hgb,eicu.lab,Hgb,,,,,,920579,108574,920368,920579,g/dL,6.3353,9.9817,16.2163,1.0,0.9998,numeric,0.9847,0.0153,8.479
chloride,eicu.lab,chloride,,,,,,907279,108688,907168,907279,mmol/L,85.5119,104.0,122.1591,1.0,0.9999,numeric,0.9858,0.0142,8.348
Hct,eicu.lab,Hct,,,,,,905005,109054,904370,905005,%,19.1123,30.5166,48.5331,1.0,0.9993,numeric,0.9891,0.0109,8.299
creatinine,eicu.lab,creatinine,,,,,,901029,109168,899734,901029,mg/dL,0.3114,1.0098,8.5548,1.0,0.9986,numeric,0.9901,0.0099,8.254
BUN,eicu.lab,BUN,,,,,,896094,109131,894710,896094,mg/dL,3.756,21.6642,111.5902,1.0,0.9985,numeric,0.9898,0.0102,8.211
Vital Signs|CVP|CVP,eicu.nurseCharting,Vital Signs|CVP|CVP,,,,,,874018,13666,874018,0,,0.0654,11.0,284.9077,0.0,1.0,numeric,0.1239,0.8761,63.956
Vital Signs and Infusions|Bedside Glucose|Bedside Glucose,eicu.nurseCharting,Vital Signs and Infusions|Bedside Glucose|Bedside Glucose,,,,,,870001,31729,870001,0,,61.2256,136.48,375.2994,0.0,1.0,numeric,0.2878,0.7122,27.42
calcium,eicu.lab,calcium,,,,,,861453,107122,861276,861453,mg/dL,6.2933,8.4,10.397,1.0,0.9998,numeric,0.9716,0.0284,8.042
respFlowSettings|Tidal Volume (set),eicu.respiratoryCharting,respFlowSettings|Tidal Volume (set),,,,,,858278,27110,858277,0,,2.4084,499.9556,722.5748,0.0,1.0,numeric,0.2459,0.7541,31.659
respFlowSettings|TV/kg IBW,eicu.respiratoryCharting,respFlowSettings|TV/kg IBW,,,,,,847436,29279,847436,0,,0.0217,7.5642,510.2798,0.0,1.0,numeric,0.2656,0.7344,28.943
bicarbonate,eicu.lab,bicarbonate,,,,,,845083,103031,843519,845083,mmol/L,11.9337,25.0,40.0464,1.0,0.9981,numeric,0.9345,0.0655,8.202
platelets x 1000,eicu.lab,platelets x 1000,,,,,,809530,108465,804053,809530,K/mcL,22.042,194.1359,611.6584,1.0,0.9932,numeric,0.9837,0.0163,7.464
Other Vital Signs and Infusions|Pulse|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Pulse|Value,,,,,,803286,6414,803286,0,,48.1424,84.219,137.8496,0.0,1.0,numeric,0.0582,0.9418,125.239
WBC x 1000,eicu.lab,WBC x 1000,,,,,,798155,108901,797743,798155,K/mcL,1.7884,10.2001,35.8754,1.0,0.9995,numeric,0.9877,0.0123,7.329
RBC,eicu.lab,RBC,,,,,,796295,108309,795302,796295,M/mcL,2.1023,3.4447,5.4974,1.0,0.9988,numeric,0.9823,0.0177,7.352
MCV,eicu.lab,MCV,,,,,,777310,105371,777296,777310,fL,71.5811,90.237,107.7967,1.0,1.0,numeric,0.9557,0.0443,7.377
