field_key,src_table,label,abbreviation,dict_category,dict_unit,param_type,specimen,n_rows,n_keys,n_numeric,n_with_uom,unit_observed,p01,p50,p99,unit_recovery_rate,numeric_rate,dtype_inferred,coverage,missing_rate,obs_per_key
211,mimiciii.CHARTEVENTS,Heart Rate,,,,,,2476111,18815,2475470,2476111,BPM,51.4538,85.7176,134.9826,1.0,0.9997,numeric,0.9845,0.0155,131.603
742,mimiciii.CHARTEVENTS,calprevflg,,,,,,2462001,18815,2460929,2462001,kg,1.0,1.0,1.0,1.0,0.9996,numeric,0.9845,0.0155,130.853
646,mimiciii.CHARTEVENTS,SpO2,,,,,,2439167,18814,2436827,2439149,%,87.3001,98.0,100.0,1.0,0.999,numeric,0.9844,0.0156,129.646
618,mimiciii.CHARTEVENTS,Respiratory Rate,,,,,,2408175,18803,2407285,2408175,BPM,7.7696,19.7491,37.7978,1.0,0.9996,numeric,0.9838,0.0162,128.074
212,mimiciii.CHARTEVENTS,Heart Rhythm,,,,,,2348171,18815,0,0,,,,,0.0,0.0,categorical,0.9845,0.0155,124.803
161,mimiciii.CHARTEVENTS,Ectopy Type,,,,,,2299521,18813,0,0,,,,,0.0,0.0,categorical,0.9844,0.0156,122.23
128,mimiciii.CHARTEVENTS,Code Status,,,,,,2286550,18289,0,0,,,,,0.0,0.0,categorical,0.9569,0.0431,125.023
550,mimiciii.CHARTEVENTS,Precautions,,,,,,2275816,18165,0,0,,,,,0.0,0.0,categorical,0.9504,0.0496,125.286
1125,mimiciii.CHARTEVENTS,Service Type,,,,,,2082531,17165,0,0,,,,,0.0,0.0,categorical,0.8981,0.1019,121.324
30013,mimiciii.INPUTEVENTS_CV,D5W,,,,,,1879439,17925,0,0,,,,,0.0,0.0,categorical,0.9379,0.0621,104.85
159,mimiciii.CHARTEVENTS,Ectopy Frequency,,,,,,1786561,18668,0,0,,,,,0.0,0.0,categorical,0.9768,0.0232,95.702
30018,mimiciii.INPUTEVENTS_CV,.9% Normal Saline,,,,,,1720524,15501,0,0,,,,,0.0,0.0,categorical,0.8111,0.1889,110.994
51,mimiciii.CHARTEVENTS,Arterial BP [Systolic],,,,,,1578805,12836,1571311,1572918,mmHg,69.3567,120.6532,189.8577,0.9963,0.9953,numeric,0.6716,0.3284,122.998
8368,mimiciii.CHARTEVENTS,Arterial BP [Diastolic],,,,,,1570955,12274,1570955,1570955,mmHg,33.1963,58.9272,100.1834,1.0,1.0,numeric,0.6422,0.3578,127.99
1484,mimiciii.CHARTEVENTS,Risk for Falls,,,,,,1567335,12818,0,0,,,,,0.0,0.0,categorical,0.6707,0.3293,122.276
52,mimiciii.CHARTEVENTS,Arterial BP Mean,,,,,,1561213,12803,1554417,1555286,mmHg,49.6551,79.1076,131.636,0.9962,0.9956,numeric,0.6699,0.3301,121.941
5815,mimiciii.CHARTEVENTS,HR Alarm [Low],,,,,,1214521,11641,1212586,1213673,BPM,40.0,55.6764,70.6722,0.9993,0.9984,numeric,0.6091,0.3909,104.331
8549,mimiciii.CHARTEVENTS,HR Alarm [High],,,,,,1213020,11641,1213020,1213020,BPM,99.9821,120.0,159.9993,1.0,1.0,numeric,0.6091,0.3909,104.202
5820,mimiciii.CHARTEVENTS,SpO2 Alarm [Low],,,,,,1212293,11630,1210788,1211432,%,76.1095,90.0,93.9987,0.9993,0.9988,numeric,0.6085,0.3915,104.238
8554,mimiciii.CHARTEVENTS,SpO2 Alarm [High],,,,,,1207596,11618,1207596,1207596,%,56.2775,100.0,100.0,1.0,1.0,numeric,0.6079,0.3921,103.942
5819,mimiciii.CHARTEVENTS,Resp Alarm [Low],,,,,,1190376,11519,1188421,1189470,BPM,5.3871,8.0,28.8453,0.9992,0.9984,numeric,0.6027,0.3973,103.34
8553,mimiciii.CHARTEVENTS,Resp Alarm [High],,,,,,1188643,11504,1188643,1188643,BPM,25.1681,35.0,52.1426,1.0,1.0,numeric,0.6019,0.3981,103.324
581,mimiciii.CHARTEVENTS,Previous WeightF,,,,,,1169677,13662,1160065,1169677,kg,43.2429,82.3203,162.9223,1.0,0.9918,numeric,0.7148,0.2852,85.615
455,mimiciii.CHARTEVENTS,NBP [Systolic],,,,,,1050200,18324,1047175,1048300,mmHg,75.3967,118.9422,181.3519,0.9982,0.9971,numeric,0.9588,0.0412,57.313
8441,mimiciii.CHARTEVENTS,NBP [Diastolic],,,,,,1045799,18286,1045799,1045799,mmHg,26.8337,56.9977,98.9161,1.0,1.0,numeric,0.9568,0.0432,57.191
456,mimiciii.CHARTEVENTS,NBP Mean,,,,,,1033353,18304,1030815,1031463,mmHg,47.0923,76.3149,119.7846,0.9982,0.9975,numeric,0.9577,0.0423,56.455
5817,mimiciii.CHARTEVENTS,NBP Alarm [Low],,,,,,899627,10491,897294,897899,mmHg,54.9937,90.0,141.4819,0.9981,0.9974,numeric,0.5489,0.4511,85.752
8551,mimiciii.CHARTEVENTS,NBP Alarm [High],,,,,,897150,10445,897150,897150,mmHg,90.0,160.0,194.5996,1.0,1.0,numeric,0.5465,0.4535,85.893
113,mimiciii.CHARTEVENTS,CVP,,,,,,879042,9136,867504,873448,mmHg,0.9993,11.0,27.8711,0.9936,0.9869,numeric,0.478,0.522,96.217
1703,mimiciii.CHARTEVENTS,Health Care Proxy,,,,,,814248,6688,0,0,,,,,0.0,0.0,categorical,0.3499,0.6501,121.748
1337,mimiciii.CHARTEVENTS,Riker-SAS Scale,,,,,,766018,16447,0,0,,,,,0.0,0.0,categorical,0.8606,0.1394,46.575
674,mimiciii.CHARTEVENTS,Temp. Site,,,,,,763488,18810,0,0,,,,,0.0,0.0,categorical,0.9842,0.0158,40.589
432,mimiciii.CHARTEVENTS,Level of Conscious,,,,,,743729,18811,0,0,,,,,0.0,0.0,categorical,0.9843,0.0157,39.537
30131,mimiciii.INPUTEVENTS_CV,Propofol,,,,,,730345,8813,430453,435832,mcgkgmin,0.0,30.0,100.2048,0.5967,0.5894,mixed,0.4611,0.5389,82.871
5813,mimiciii.CHARTEVENTS,ABP Alarm [Low],,,,,,711270,7111,706964,708042,mmHg,49.991,90.0,144.3161,0.9955,0.9939,numeric,0.3721,0.6279,100.024
31,mimiciii.CHARTEVENTS,Activity,,,,,,708512,18781,0,0,,,,,0.0,0.0,categorical,0.9827,0.0173,37.725
8547,mimiciii.CHARTEVENTS,ABP Alarm [High],,,,,,706899,6855,706899,706899,mmHg,90.0,160.0,200.1508,1.0,1.0,numeric,0.3587,0.6413,103.122
184,mimiciii.CHARTEVENTS,Eye Opening,,,,,,690169,18810,689769,0,,1.0,4.0,4.0,0.0,0.9994,numeric,0.9842,0.0158,36.692
723,mimiciii.CHARTEVENTS,Verbal Response,,,,,,688803,18808,687938,0,,1.0,1.3429,5.0,0.0,0.9987,numeric,0.9841,0.0159,36.623
454,mimiciii.CHARTEVENTS,Motor Response,,,,,,687159,18809,686555,0,,1.0,6.0,6.0,0.0,0.9991,numeric,0.9841,0.0159,36.534
617,mimiciii.CHARTEVENTS,Respiratory Pattern,,,,,,687018,18809,0,0,,,,,0.0,0.0,categorical,0.9841,0.0159,36.526
637,mimiciii.CHARTEVENTS,Side Rails,,,,,,684163,18284,0,0,,,,,0.0,0.0,categorical,0.9567,0.0433,37.419
198,mimiciii.CHARTEVENTS,GCS Total,,,,,,683960,18807,683807,683960,points,3.0,11.0,15.0,1.0,0.9998,numeric,0.984,0.016,36.367
210,mimiciii.CHARTEVENTS,HOB,,,,,,677097,18783,0,0,,,,,0.0,0.0,categorical,0.9828,0.0172,36.048
707,mimiciii.CHARTEVENTS,Urine Source,,,,,,670598,18798,0,0,,,,,0.0,0.0,categorical,0.9836,0.0164,35.674
704,mimiciii.CHARTEVENTS,Turn,,,,,,661035,18789,0,0,,,,,0.0,0.0,categorical,0.9831,0.0169,35.182
479,mimiciii.CHARTEVENTS,Orientation,,,,,,660638,18806,24,0,,3.0,4.0,5.0,0.0,0.0,categorical,0.984,0.016,35.129
30045,mimiciii.INPUTEVENTS_CV,Insulin,,,,,,630018,5290,362036,366223,Uhr,0.0,3.0,19.1319,0.5813,0.5746,mixed,0.2768,0.7232,119.096
