field_key,src_table,label,abbreviation,dict_category,dict_unit,param_type,specimen,n_rows,n_keys,n_numeric,n_with_uom,unit_observed,p01,p50,p99,unit_recovery_rate,numeric_rate,dtype_inferred,coverage,missing_rate,obs_per_key
227969,mimiciv.icu.chartevents,Safety Measures,Safety Measures,Restraint/Support Systems,,Text,,5777936,34287,0,0,,,,,0.0,0.0,categorical,0.9435,0.0565,168.517
220045,mimiciv.icu.chartevents,Heart Rate,HR,Routine Vital Signs,bpm,Numeric,,3947601,36339,3947601,3947601,bpm,49.1714,84.2313,135.3056,1.0,1.0,numeric,1.0,0.0,108.633
220210,mimiciv.icu.chartevents,Respiratory Rate,RR,Respiratory,insp/min,Numeric,,3891517,36307,3891517,3891517,insp/min,8.1875,19.5333,36.7603,1.0,1.0,numeric,0.9991,0.0009,107.184
220277,mimiciv.icu.chartevents,O2 saturation pulseoxymetry,SpO2,Respiratory,%,Numeric,,3870472,36331,3870472,3870472,%,87.5305,97.0,100.0,1.0,1.0,numeric,0.9998,0.0002,106.534
220048,mimiciv.icu.chartevents,Heart Rhythm,Heart Rhythm,Routine Vital Signs,,Text,,3583284,36294,0,0,,,,,0.0,0.0,categorical,0.9987,0.0013,98.729
224650,mimiciv.icu.chartevents,Ectopy Type 1,Ectopy Type 1,Routine Vital Signs,,Text,,3188979,35809,0,0,,,,,0.0,0.0,categorical,0.9854,0.0146,89.055
227958,mimiciv.icu.chartevents,Less Restrictive Measures,Less Restrictive Measures,Restraint/Support Systems,,Text,,2393324,17336,0,0,,,,,0.0,0.0,categorical,0.4771,0.5229,138.055
220179,mimiciv.icu.chartevents,Non Invasive Blood Pressure systolic,NBPs,Routine Vital Signs,mmHg,Numeric,,2318386,36011,2318386,2318386,mmHg,77.8028,118.749,178.562,1.0,1.0,numeric,0.9909,0.0091,64.38
220180,mimiciv.icu.chartevents,Non Invasive Blood Pressure diastolic,NBPd,Routine Vital Signs,mmHg,Numeric,,2317959,36011,2317959,2317959,mmHg,35.2202,64.5769,110.4434,1.0,1.0,numeric,0.9909,0.0091,64.368
220181,mimiciv.icu.chartevents,Non Invasive Blood Pressure mean,NBPm,Routine Vital Signs,mmHg,Numeric,,2314564,36000,2314564,2314564,mmHg,48.8881,78.3401,123.5843,1.0,1.0,numeric,0.9906,0.0094,64.293
229381,mimiciv.icu.chartevents,Orientation,Orientation,Neurological,,Text,,1558148,15593,1558148,0,,1.0,1.0,1.0,0.0,1.0,numeric,0.4291,0.5709,99.926
220052,mimiciv.icu.chartevents,Arterial Blood Pressure mean,ABPm,Routine Vital Signs,mmHg,Numeric,,1529951,17692,1529951,1529951,mmHg,49.5182,76.9537,128.4764,1.0,1.0,numeric,0.4868,0.5132,86.477
220050,mimiciv.icu.chartevents,Arterial Blood Pressure systolic,ABPs,Routine Vital Signs,mmHg,Numeric,,1526547,17610,1526547,1526547,mmHg,74.3185,117.3939,184.272,1.0,1.0,numeric,0.4846,0.5154,86.686
220051,mimiciv.icu.chartevents,Arterial Blood Pressure diastolic,ABPd,Routine Vital Signs,mmHg,Numeric,,1526345,17615,1526345,1526345,mmHg,34.3034,57.6552,98.5488,1.0,1.0,numeric,0.4847,0.5153,86.65
224080,mimiciv.icu.chartevents,Head of Bed,HOB,Treatments,,Text,,1519417,36317,0,0,,,,,0.0,0.0,categorical,0.9994,0.0006,41.838
224082,mimiciv.icu.chartevents,Turn,Turn,Treatments,,Text,,1509340,36313,0,0,,,,,0.0,0.0,categorical,0.9993,0.0007,41.565
224086,mimiciv.icu.chartevents,Activity Tolerance,Activity Tolerance,Treatments,,Text,,1445917,36273,0,0,,,,,0.0,0.0,categorical,0.9982,0.0018,39.862
224093,mimiciv.icu.chartevents,Position,Position,Treatments,,Text,,1431464,36139,0,0,,,,,0.0,0.0,categorical,0.9945,0.0055,39.61
228905,mimiciv.icu.chartevents,Altered Respiratory Status NCP - Interventions,ARS NCP - Interventions,Care Plans,,Text,,1257717,7985,0,0,,,,,0.0,0.0,categorical,0.2197,0.7803,157.51
224642,mimiciv.icu.chartevents,Temperature Site,Temp Site,Routine Vital Signs,,Text,,1144011,36260,0,0,,,,,0.0,0.0,categorical,0.9978,0.0022,31.55
223792,mimiciv.icu.chartevents,Pain Management,Pain Management,Pain/Sedation,,Text,,1086026,33016,0,0,,,,,0.0,0.0,categorical,0.9085,0.0915,32.894
228868,mimiciv.icu.chartevents,Assistance,Assistance,Treatments,,Text,,1062909,25306,0,0,,,,,0.0,0.0,categorical,0.6964,0.3036,42.002
220739,mimiciv.icu.chartevents,GCS - Eye Opening,Eye Opening,Neurological,,Text,,1040403,36328,1040403,0,,1.0,4.0,4.0,0.0,1.0,numeric,0.9997,0.0003,28.639
223900,mimiciv.icu.chartevents,GCS - Verbal Response,Verbal Response,Neurological,,Text,,1038554,36328,1038554,0,,1.0,4.0,5.0,0.0,1.0,numeric,0.9997,0.0003,28.588
223901,mimiciv.icu.chartevents,GCS - Motor Response,Motor Response,Neurological,,Text,,1035968,36326,1035968,0,,1.0,6.0,6.0,0.0,1.0,numeric,0.9996,0.0004,28.519
228988,mimiciv.icu.chartevents,Safety Restraints NCP - Interventions,Safety Restraints NCP - Interventions,Care Plans,,Text,,1025764,5587,0,0,,,,,0.0,0.0,categorical,0.1537,0.8463,183.598
224073,mimiciv.icu.chartevents,Education Topic,Education Topic,Restraint/Support Systems,,Text,,952780,35103,0,0,,,,,0.0,0.0,categorical,0.966,0.034,27.142
224089,mimiciv.icu.chartevents,Anti Embolic Device,Anti Embolic Device,Treatments,,Text,,950058,33467,0,0,,,,,0.0,0.0,categorical,0.9209,0.0791,28.388
228928,mimiciv.icu.chartevents,Impaired Tissue Perfusion NCP - Interventions,ITP NCP - Interventions,Care Plans,,Text,,948286,8286,0,0,,,,,0.0,0.0,categorical,0.228,0.772,114.444
226732,mimiciv.icu.chartevents,O2 Delivery Device(s),O2 Delivery Device(s),Respiratory,,Text,,933372,36169,0,0,,,,,0.0,0.0,categorical,0.9953,0.0047,25.806
223761,mimiciv.icu.chartevents,Temperature Fahrenheit,Temperature F,Routine Vital Signs,°F,Numeric,,923344,35913,923344,923344,°F,95.9688,98.4899,102.2679,1.0,1.0,numeric,0.9882,0.0118,25.711
224088,mimiciv.icu.chartevents,Pressure Reducing Device,Pressure Reducing Device,Treatments,,Text,,914942,29304,0,0,,,,,0.0,0.0,categorical,0.8064,0.1936,31.222
224641,mimiciv.icu.chartevents,Alarms On,Alarms On,Alarms,,Checkbox,,914294,36314,914294,0,,1.0,1.0,1.0,0.0,1.0,numeric,0.9993,0.0007,25.177
224168,mimiciv.icu.chartevents,Parameters Checked,Parameters Checked,Alarms,,Checkbox,,899090,36288,899090,0,,1.0,1.0,1.0,0.0,1.0,numeric,0.9986,0.0014,24.777
223987,mimiciv.icu.chartevents,RLL Lung Sounds,RLL Lung Sounds,Pulmonary,,Text,,887544,36301,0,0,,,,,0.0,0.0,categorical,0.9989,0.0011,24.45
223989,mimiciv.icu.chartevents,LLL Lung Sounds,LLL Lung Sounds,Pulmonary,,Text,,885074,36298,0,0,,,,,0.0,0.0,categorical,0.9988,0.0012,24.384
223781,mimiciv.icu.chartevents,Pain Present,Pain Present,Pain/Sedation,,Text,,881546,35884,0,0,,,,,0.0,0.0,categorical,0.9875,0.0125,24.567
227944,mimiciv.icu.chartevents,Side Rails,Side Rails,Restraint/Support Systems,,Text,,876676,34301,0,0,,,,,0.0,0.0,categorical,0.9439,0.0561,25.558
229321,mimiciv.icu.chartevents,Activity / Mobility (JH-HLM),Activity / Mobility (JH-HLM),Treatments,,Text,,873799,19321,873799,0,,1.0,2.0,7.0,0.0,1.0,numeric,0.5317,0.4683,45.225
223986,mimiciv.icu.chartevents,RUL Lung Sounds,RUL Lung Sounds,Pulmonary,,Text,,872503,36306,0,0,,,,,0.0,0.0,categorical,0.9991,0.0009,24.032
223988,mimiciv.icu.chartevents,LUL Lung Sounds,LUL Lung Sounds,Pulmonary,,Text,,871280,36303,0,0,,,,,0.0,0.0,categorical,0.999,0.001,24.0
225054,mimiciv.icu.chartevents,Anti Embolic Device Status,Anti Embolic Device Status,Treatments,,Text,,827188,30712,0,0,,,,,0.0,0.0,categorical,0.8451,0.1549,26.934
224003,mimiciv.icu.chartevents,Abdominal Assessment,Abdominal Assessment,GI/GU,,Text,,823015,36309,0,0,,,,,0.0,0.0,categorical,0.9991,0.0009,22.667
223907,mimiciv.icu.chartevents,Pupil Size Right,Pupil Size Right,Neurological,,Text,,822944,34282,0,0,,,,,0.0,0.0,categorical,0.9434,0.0566,24.005
