db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern,dbs_covered,dbs_missing,verdict,note
mimic-iii,50801,aado2,unspecified,aado2,mimiciii.LABEVENTS,mm Hg,0.6242,numeric,160.5502,483.6205,646.5388,12501,5211,0.2727,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50801,aado2,unspecified,aado2,mimiciii.LABEVENTS,mm Hg,0.6242,numeric,160.5502,483.6205,646.5388,12501,5211,0.2727,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,50801,aado2,unspecified,aado2,mimiciv.hosp.labevents,mm Hg,1.0,numeric,175.4919,506.4842,642.0059,6021,2940,0.0809,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
eicu,alkaline phos.,alkaline_phosphatase,unspecified,alkaline_phosphatase,eicu.lab,Units/L,1.0,numeric,30.8721,86.3236,603.8065,303220,85780,0.778,pivoted/pivoted-lab.sql,P4,eicu+mimic-iv,mimic-iii,,
eicu,ALT (SGPT),alt,unspecified,alt,eicu.lab,Units/L,1.0,numeric,6.2226,28.9845,1782.6067,304916,86504,0.7846,pivoted/pivoted-lab.sql,P4,eicu+mimic-iv,mimic-iii,,
eicu,AST (SGOT),ast,unspecified,ast,eicu.lab,Units/L,1.0,numeric,7.9908,31.3706,2294.6243,306669,86982,0.7889,pivoted/pivoted-lab.sql,P4,eicu+mimic-iv,mimic-iii,,
mimic-iii,50805,carboxyhemoglobin,unspecified,carboxyhemoglobin,mimiciii.LABEVENTS,%,1.0,numeric,0.0,1.0,7.0,819,726,0.038,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50805,carboxyhemoglobin,unspecified,carboxyhemoglobin,mimiciii.LABEVENTS,%,1.0,numeric,0.0,1.0,7.0,819,726,0.038,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,50805,carboxyhemoglobin,unspecified,carboxyhemoglobin,mimiciv.hosp.labevents,%,1.0,numeric,0.0,1.0,5.3275,776,669,0.0184,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50816,fio2,unspecified,fio2,mimiciii.LABEVENTS,%,0.4091,numeric,23.4313,50.0,100.0,67835,9086,0.4754,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
