base_concept,group,status,n_dbs_covered,dbs_covered,dbs_missing,units_observed,n_source_pairs
aado2,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,mm Hg,3
admission_height,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
admission_type,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
admission_weight,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
age,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
albumin,lab,auto,3,eicu+mimic-iii+mimic-iv,,g/dL,5
alkaline_phosphatase,lab,needs_adjudication,2,eicu+mimic-iv,mimic-iii,IU/L;Units/L,2
alt,lab,needs_adjudication,2,eicu+mimic-iv,mimic-iii,IU/L;Units/L,2
amylase,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,IU/L,1
anion_gap,lab,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L,5
ast,lab,needs_adjudication,2,eicu+mimic-iv,mimic-iii,IU/L;Units/L,2
atypical_lymphocytes,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
bands,lab,auto,3,eicu+mimic-iii+mimic-iv,,%,5
base_deficit,respiratory_bloodgas,needs_adjudication,1,eicu,mimic-iii+mimic-iv,mEq/L,1
base_excess,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L,4
basophils,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
basophils_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,K/uL,1
bicarbonate,lab,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L;mmol/L,13
bilirubin,unassigned,auto,3,eicu+mimic-iii+mimic-iv,,mg/dL,5
bilirubin_direct,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,mg/dL,1
bilirubin_indirect,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,mg/dL,1
bp,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
bun,lab,auto,3,eicu+mimic-iii+mimic-iv,,mg/dL,5
calcium,lab,auto,3,eicu+mimic-iii+mimic-iv,,mg/dL;mmol/L,5
carboxyhemoglobin,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,%,3
chloride,lab,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L;mmol/L,10
ci,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
ck_cpk,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,IU/L,1
ck_mb,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,ng/mL,2
co,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
cpp,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
creatinine,lab,auto,3,eicu+mimic-iii+mimic-iv,,mg/dL,5
crp,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,mg/L,1
d_dimer,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,ng/mL FEU,1
dbp,vital,auto,3,eicu+mimic-iii+mimic-iv,,mmHg,18
delirium_scale,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
delirium_score,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
dobutamine,medication,needs_adjudication,1,mimic-iii,eicu+mimic-iv,mcgkgmin,1
dopamine,medication,needs_adjudication,1,mimic-iii,eicu+mimic-iv,mcg/kg/min;mcgkgmin,2
ectopy_frequency,vital,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
ectopy_frequency_secondary,vital,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
ectopy_type,vital,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
ectopy_type_secondary,vital,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
eosinophils,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
eosinophils_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,K/uL,1
epinephrine,medication,needs_adjudication,1,mimic-iii,eicu+mimic-iv,mcgmin,1
etco2,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
ethnicity,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
fibrinogen,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,mg/dL,1
fio2,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,%,6
first_careunit,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
gcs,unassigned,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
gcs_eyes,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
gcs_motor,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
gcs_unable,respiratory_bloodgas,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
gcs_verbal,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
ggt,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,IU/L,1
globulin,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,g/dL,1
glucose,lab,auto,3,eicu+mimic-iii+mimic-iv,,mg/dL,26
granulocytes_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,#/uL,1
heart_rate,vital,auto,3,eicu+mimic-iii+mimic-iv,,BPM;bpm,6
hematocrit,lab,auto,3,eicu+mimic-iii+mimic-iv,,%,10
hemoglobin,lab,auto,3,eicu+mimic-iii+mimic-iv,,g/dL,10
hospital_los,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
iap,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
icp,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
immature_granulocytes,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
inr,lab,auto,3,eicu+mimic-iii+mimic-iv,,ratio,5
intubated,respiratory_bloodgas,needs_adjudication,1,mimic-iii,eicu+mimic-iv,,2
lactate,lab,auto,3,eicu+mimic-iii+mimic-iv,,mmol/L,7
ld_ldh,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,IU/L,1
lymphocytes,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,2
lymphocytes_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,K/uL,1
mbp,vital,needs_adjudication,2,mimic-iii+mimic-iv,eicu,mmHg,18
mch,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,pg,1
mchc,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,g/dL,1
mcv,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,fL,1
metamyelocytes,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
methemoglobin,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,%,3
minute_volume,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,L/min,1
monocytes,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
monocytes_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,K/uL,1
neutrophils,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
neutrophils_abs,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,K/uL,1
norepinephrine,medication,needs_adjudication,1,mimic-iii,eicu+mimic-iv,mcg/kg/min;mcgmin,2
nrbc,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
ntprobnp,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,pg/mL,1
o2_device,respiratory_bloodgas,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
