base_concept,group,db,field_key,method,src_table,unit_observed,p01,p50,p99,n_rows,evidence,src_file
albumin,lab,eicu,albumin,unspecified,eicu.lab,g/dL,1.2592,2.7544,4.5111,356149,3-source agreement,pivoted/pivoted-lab.sql
albumin,lab,mimic-iii,50862,unspecified,mimiciii.LABEVENTS,g/dL,1.4605,2.8029,4.4957,40212,3-source agreement,firstday/labs_first_day.sql
albumin,lab,mimic-iv,50862,unspecified,mimiciv.hosp.labevents,g/dL,1.5911,2.9995,4.5893,76215,3-source agreement,measurement/chemistry.sql
anion_gap,lab,eicu,anion gap,unspecified,eicu.lab,,2.0278,10.0,25.0793,726026,3-source agreement,pivoted/pivoted-bg.sql
anion_gap,lab,mimic-iii,50868,unspecified,mimiciii.LABEVENTS,mEq/L,6.9897,13.0,26.1242,239038,3-source agreement,firstday/labs_first_day.sql
anion_gap,lab,mimic-iv,50868,unspecified,mimiciv.hosp.labevents,mEq/L,6.0,13.0,25.9025,513101,3-source agreement,measurement/chemistry.sql
bands,lab,eicu,-bands,unspecified,eicu.lab,%,0.0,5.0107,64.2471,52541,3-source agreement,pivoted/pivoted-lab.sql
bands,lab,mimic-iii,51144,unspecified,mimiciii.LABEVENTS,%,0.0,0.5211,36.6254,19225,3-source agreement,firstday/labs_first_day.sql
bands,lab,mimic-iv,51144,unspecified,mimiciv.hosp.labevents,%,0.0,1.0,27.9378,23254,3-source agreement,measurement/blood_differential.sql
base_excess,respiratory_bloodgas,eicu,Base Excess,unspecified,eicu.lab,mEq/L,-17.5952,0.2391,17.8522,255811,3-source agreement,pivoted/pivoted-bg.sql
base_excess,respiratory_bloodgas,mimic-iii,50802,unspecified,mimiciii.LABEVENTS,mEq/L,-13.2814,0.0,12.3974,253395,3-source agreement,firstday/blood_gas_first_day.sql
base_excess,respiratory_bloodgas,mimic-iv,50802,unspecified,mimiciv.hosp.labevents,mEq/L,-15.3365,0.0,14.6018,298887,3-source agreement,measurement/bg.sql
bicarbonate,lab,eicu,bicarbonate,unspecified,eicu.lab,mmol/L,11.933,25.0,40.0217,845083,3-source agreement,pivoted/pivoted-lab.sql
bicarbonate,lab,eicu,Total CO2,unspecified,eicu.lab,,10.7141,25.5211,68.872,145400,3-source agreement,pivoted/pivoted-lab.sql
bicarbonate,lab,eicu,HCO3,unspecified,eicu.infusionDrug,,,,,1,3-source agreement,concepts/labsfirstday.sql
bicarbonate,lab,mimic-iii,50803,unspecified,mimiciii.LABEVENTS,mEq/L,9.3714,24.0,38.1989,3441,3-source agreement,firstday/blood_gas_first_day.sql
bicarbonate,lab,mimic-iii,50804,unspecified,mimiciii.LABEVENTS,mEq/L,13.3676,25.9887,41.9703,253384,3-source agreement,firstday/blood_gas_first_day.sql
bicarbonate,lab,mimic-iii,50882,unspecified,mimiciii.LABEVENTS,mEq/L,13.1294,25.0,37.7126,245803,3-source agreement,firstday/labs_first_day.sql
bicarbonate,lab,mimic-iv,50803,unspecified,mimiciv.hosp.labevents,mEq/L,9.1135,23.0,38.4765,3459,3-source agreement,measurement/bg.sql
bicarbonate,lab,mimic-iv,50804,unspecified,mimiciv.hosp.labevents,mEq/L,12.1322,25.0,44.0635,298876,3-source agreement,measurement/bg.sql
bicarbonate,lab,mimic-iv,50882,unspecified,mimiciv.hosp.labevents,mEq/L,12.7172,24.9857,38.3853,514940,3-source agreement,measurement/chemistry.sql
bilirubin,unassigned,eicu,total bilirubin,total,eicu.lab,mg/dL,0.197,0.6718,20.3888,299538,3-source agreement,pivoted/pivoted-lab.sql
bilirubin,unassigned,mimic-iii,50885,total,mimiciii.LABEVENTS,mg/dL,0.1808,0.9748,36.48,56168,3-source agreement,firstday/labs_first_day.sql
bilirubin,unassigned,mimic-iv,50885,total,mimiciv.hosp.labevents,mg/dL,0.1997,0.8892,37.2838,147713,3-source agreement,measurement/enzyme.sql
bun,lab,eicu,BUN,unspecified,eicu.lab,mg/dL,3.765,21.6393,112.0977,896094,3-source agreement,pivoted/pivoted-lab.sql
bun,lab,mimic-iii,51006,unspecified,mimiciii.LABEVENTS,mg/dL,4.1392,21.9738,115.4788,252171,3-source agreement,firstday/labs_first_day.sql
bun,lab,mimic-iv,51006,unspecified,mimiciv.hosp.labevents,mg/dL,4.0608,21.669,117.8934,518206,3-source agreement,measurement/chemistry.sql
calcium,lab,eicu,calcium,unspecified,eicu.lab,mg/dL,6.2988,8.4,10.4039,861453,3-source agreement,pivoted/pivoted-lab.sql
calcium,lab,mimic-iii,50808,unspecified,mimiciii.LABEVENTS,mmol/L,0.8293,1.1375,1.4266,135655,3-source agreement,firstday/blood_gas_first_day.sql
calcium,lab,mimic-iv,50808,unspecified,mimiciv.hosp.labevents,mmol/L,0.8491,1.1214,1.446,174600,3-source agreement,measurement/bg.sql
calcium,lab,mimic-iv,50893,unspecified,mimiciv.hosp.labevents,mg/dL,6.6616,8.4988,10.6788,450306,3-source agreement,measurement/chemistry.sql
chloride,lab,eicu,chloride,unspecified,eicu.lab,mmol/L,85.4034,103.9999,122.1991,907279,3-source agreement,pivoted/pivoted-lab.sql
