db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern
eicu,albumin,albumin,unspecified,albumin,eicu.lab,g/dL,1.0,numeric,1.2592,2.7544,4.5111,356149,88604,0.8036,pivoted/pivoted-lab.sql,P4
eicu,albumin,albumin,unspecified,albumin,eicu.lab,g/dL,1.0,numeric,1.2592,2.7544,4.5111,356149,88604,0.8036,concepts/labsfirstday.sql,P4
mimic-iii,50862,albumin,unspecified,albumin,mimiciii.LABEVENTS,g/dL,0.9999,numeric,1.4605,2.8029,4.4957,40212,12089,0.6325,firstday/labs_first_day.sql,P3
mimic-iii,50862,albumin,unspecified,albumin,mimiciii.LABEVENTS,g/dL,0.9999,numeric,1.4605,2.8029,4.4957,40212,12089,0.6325,pivot/pivoted_lab.sql,P3
mimic-iv,50862,albumin,unspecified,albumin,mimiciv.hosp.labevents,g/dL,1.0,numeric,1.5911,2.9995,4.5893,76215,21264,0.5851,measurement/chemistry.sql,P1
eicu,anion gap,anion_gap,unspecified,anion_gap,eicu.lab,,0.0,numeric,2.0278,10.0,25.0793,726026,87344,0.7922,pivoted/pivoted-bg.sql,P4
eicu,anion gap,anion_gap,unspecified,anion_gap,eicu.lab,,0.0,numeric,2.0278,10.0,25.0793,726026,87344,0.7922,concepts/labsfirstday.sql,P4
mimic-iii,50868,anion_gap,unspecified,anion_gap,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,6.9897,13.0,26.1242,239038,18856,0.9866,firstday/labs_first_day.sql,P3
mimic-iii,50868,anion_gap,unspecified,anion_gap,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,6.9897,13.0,26.1242,239038,18856,0.9866,pivot/pivoted_lab.sql,P3
mimic-iv,50868,anion_gap,unspecified,anion_gap,mimiciv.hosp.labevents,mEq/L,1.0,numeric,6.0,13.0,25.9025,513101,36216,0.9966,measurement/chemistry.sql,P1
eicu,-bands,bands,unspecified,bands,eicu.lab,%,1.0,numeric,0.0,5.0107,64.2471,52541,17586,0.1595,pivoted/pivoted-lab.sql,P4
eicu,-bands,bands,unspecified,bands,eicu.lab,%,1.0,numeric,0.0,5.0107,64.2471,52541,17586,0.1595,concepts/labsfirstday.sql,P4
mimic-iii,51144,bands,unspecified,bands,mimiciii.LABEVENTS,%,0.9998,numeric,0.0,0.5211,36.6254,19225,8143,0.4261,firstday/labs_first_day.sql,P3
mimic-iii,51144,bands,unspecified,bands,mimiciii.LABEVENTS,%,0.9998,numeric,0.0,0.5211,36.6254,19225,8143,0.4261,pivot/pivoted_lab.sql,P3
mimic-iv,51144,bands,unspecified,bands,mimiciv.hosp.labevents,%,1.0,numeric,0.0,1.0,27.9378,23254,6501,0.1789,measurement/blood_differential.sql,P1
eicu,Base Excess,base_excess,unspecified,base_excess,eicu.lab,mEq/L,1.0,numeric,-17.5952,0.2391,17.8522,255811,47784,0.4334,pivoted/pivoted-bg.sql,P4
mimic-iii,50802,base_excess,unspecified,base_excess,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,-13.2814,0.0,12.3974,253395,14989,0.7843,firstday/blood_gas_first_day.sql,P3
mimic-iii,50802,base_excess,unspecified,base_excess,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,-13.2814,0.0,12.3974,253395,14989,0.7843,pivot/pivoted_bg.sql,P3
mimic-iv,50802,base_excess,unspecified,base_excess,mimiciv.hosp.labevents,mEq/L,1.0,numeric,-15.3365,0.0,14.6018,298887,26111,0.7185,measurement/bg.sql,P1
eicu,bicarbonate,bicarbonate,unspecified,bicarbonate,eicu.lab,mmol/L,1.0,numeric,11.933,25.0,40.0217,845083,103031,0.9345,pivoted/pivoted-lab.sql,P4
eicu,Total CO2,bicarbonate,unspecified,bicarbonate,eicu.lab,,0.0,numeric,10.7141,25.5211,68.872,145400,25310,0.2296,pivoted/pivoted-lab.sql,P4
eicu,bicarbonate,bicarbonate,unspecified,bicarbonate,eicu.lab,mmol/L,1.0,numeric,11.933,25.0,40.0217,845083,103031,0.9345,concepts/labsfirstday.sql,P4
eicu,HCO3,bicarbonate,unspecified,bicarbonate,eicu.infusionDrug,,0.0,categorical,,,,1,1,0.0,concepts/labsfirstday.sql,P4
mimic-iii,50803,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,1.0,numeric,9.3714,24.0,38.1989,3441,2686,0.1405,firstday/blood_gas_first_day.sql,P3
mimic-iii,50804,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,13.3676,25.9887,41.9703,253384,14990,0.7843,firstday/blood_gas_first_day.sql,P3
mimic-iii,50882,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,13.1294,25.0,37.7126,245803,18860,0.9868,firstday/labs_first_day.sql,P3
mimic-iii,50803,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,1.0,numeric,9.3714,24.0,38.1989,3441,2686,0.1405,pivot/pivoted_bg.sql,P3
mimic-iii,50804,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,13.3676,25.9887,41.9703,253384,14990,0.7843,pivot/pivoted_bg.sql,P3
mimic-iii,50882,bicarbonate,unspecified,bicarbonate,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,13.1294,25.0,37.7126,245803,18860,0.9868,pivot/pivoted_lab.sql,P3
mimic-iv,50803,bicarbonate,unspecified,bicarbonate,mimiciv.hosp.labevents,mEq/L,1.0,numeric,9.1135,23.0,38.4765,3459,2399,0.066,measurement/bg.sql,P1
mimic-iv,50804,bicarbonate,unspecified,bicarbonate,mimiciv.hosp.labevents,mEq/L,1.0,numeric,12.1322,25.0,44.0635,298876,26107,0.7184,measurement/bg.sql,P1
mimic-iv,50882,bicarbonate,unspecified,bicarbonate,mimiciv.hosp.labevents,mEq/L,1.0,numeric,12.7172,24.9857,38.3853,514940,36216,0.9966,measurement/chemistry.sql,P1
eicu,total bilirubin,bilirubin,total,bilirubin_total,eicu.lab,mg/dL,1.0,numeric,0.197,0.6718,20.3888,299538,84422,0.7657,pivoted/pivoted-lab.sql,P4
eicu,total bilirubin,bilirubin,total,bilirubin_total,eicu.lab,mg/dL,1.0,numeric,0.197,0.6718,20.3888,299538,84422,0.7657,concepts/labsfirstday.sql,P4
mimic-iii,50885,bilirubin,total,bilirubin_total,mimiciii.LABEVENTS,mg/dL,1.0,numeric,0.1808,0.9748,36.48,56168,12539,0.6561,firstday/labs_first_day.sql,P3
mimic-iii,50885,bilirubin,total,bilirubin_total,mimiciii.LABEVENTS,mg/dL,1.0,numeric,0.1808,0.9748,36.48,56168,12539,0.6561,pivot/pivoted_lab.sql,P3
mimic-iv,50885,bilirubin,total,bilirubin_total,mimiciv.hosp.labevents,mg/dL,1.0,numeric,0.1997,0.8892,37.2838,147713,24697,0.6796,measurement/enzyme.sql,P1
eicu,BUN,bun,unspecified,bun,eicu.lab,mg/dL,1.0,numeric,3.765,21.6393,112.0977,896094,109131,0.9898,pivoted/pivoted-lab.sql,P4
