db,field_key,base_concept,method,src_file
mimic-iii,221289,epinephrine,unspecified,severityscores/sofa.sql
mimic-iii,221653,dobutamine,unspecified,severityscores/sofa.sql
mimic-iii,225441,ihd,unspecified,pivot/pivoted_rrt.sql
mimic-iii,225468,selfextubated,unspecified,durations/ventilation_classification.sql
mimic-iii,225802,crrt,unspecified,pivot/pivoted_rrt.sql
mimic-iii,225803,cvvhd,unspecified,pivot/pivoted_rrt.sql
mimic-iii,225805,peritoneal,unspecified,pivot/pivoted_rrt.sql
mimic-iii,225809,cvvhdf,unspecified,pivot/pivoted_rrt.sql
mimic-iii,225955,scuf,unspecified,pivot/pivoted_rrt.sql
mimic-iii,30306,dobutamine,unspecified,severityscores/sofa.sql
mimic-iii,30307,dopamine,unspecified,severityscores/sofa.sql
mimic-iii,3580,weight,unspecified,severityscores/sofa.sql
mimic-iii,3723,weight,unspecified,severityscores/sofa.sql
mimic-iii,3744,glucose,unspecified,firstday/vitals_first_day.sql
mimic-iii,3744,glucose,unspecified,pivot/pivoted_vital.sql
mimic-iii,3745,glucose,unspecified,firstday/vitals_first_day.sql
mimic-iii,3745,glucose,unspecified,pivot/pivoted_vital.sql
mimic-iv,225441,ihd,unspecified,treatment/rrt.sql
mimic-iv,225802,crrt,unspecified,treatment/rrt.sql
mimic-iv,225803,cvvhd,unspecified,treatment/rrt.sql
mimic-iv,225805,peritoneal,unspecified,treatment/rrt.sql
mimic-iv,225809,cvvhdf,unspecified,treatment/rrt.sql
mimic-iv,225955,scuf,unspecified,treatment/rrt.sql
mimic-iv,51755,wbc,unspecified,measurement/blood_differential.sql
mimic-iv,52159,rdwsd,unspecified,measurement/complete_blood_count.sql
