db,src_table,field_name,reason
eicu,customLab,GFR,站点自定义化验名
eicu,customLab,VE,站点自定义化验名
eicu,customLab,MV,站点自定义化验名
eicu,customLab,Abs Neuts,站点自定义化验名
eicu,customLab,Neuts,站点自定义化验名
eicu,customLab,Sample Type,站点自定义化验名
eicu,customLab,Neuts %,站点自定义化验名
eicu,customLab,Crt w Est GFR,站点自定义化验名
eicu,customLab,Whole Bld Ioniz Calcium,站点自定义化验名
eicu,customLab,eGFR,站点自定义化验名
eicu,customLab,WB Ionized Calcium pH,站点自定义化验名
eicu,customLab,Absol Neut,站点自定义化验名
eicu,customLab,MVE,站点自定义化验名
eicu,customLab,Note,站点自定义化验名
eicu,customLab,V.E.,站点自定义化验名
eicu,customLab,Type,站点自定义化验名
eicu,customLab,BNP,站点自定义化验名
eicu,customLab,Creatinine w Est GFR,站点自定义化验名
eicu,customLab,VT,站点自定义化验名
eicu,customLab,Crt  w Est GFR,站点自定义化验名
eicu,customLab,serum osmo,站点自定义化验名
eicu,customLab,Influenza B,站点自定义化验名
eicu,customLab,Neut %,站点自定义化验名
eicu,customLab,Influenza A,站点自定义化验名
eicu,customLab,Plasma Lactic Acid Ven,站点自定义化验名
eicu,customLab,Peep High/ Peep Low,站点自定义化验名
eicu,customLab,D-Dimer,站点自定义化验名
eicu,customLab,wh bl ion calcium,站点自定义化验名
eicu,customLab,Crt w GFR,站点自定义化验名
eicu,customLab,WB ion calcium PH,站点自定义化验名
eicu,customLab,B-Natriuretic Peptide,站点自定义化验名
eicu,customLab,Ionized Calcium,站点自定义化验名
eicu,customLab,BUN/Creat ratio,站点自定义化验名
eicu,customLab,Crt c Est GFR,站点自定义化验名
eicu,customLab,Influenza Type B,站点自定义化验名
eicu,customLab,Vitamin B12,站点自定义化验名
eicu,customLab,THB,站点自定义化验名
eicu,customLab,Pro-BNP,站点自定义化验名
eicu,customLab,PSV,站点自定义化验名
eicu,customLab,Influenza Type A,站点自定义化验名
eicu,customLab,TSH,站点自定义化验名
eicu,customLab,HGB A1C,站点自定义化验名
eicu,customLab,GFR Calculation,站点自定义化验名
eicu,customLab,Folate,站点自定义化验名
eicu,customLab,Heparin Level,站点自定义化验名
eicu,customLab,Creatinene w Est GFR,站点自定义化验名
eicu,customLab,Creatinine w/ Est GFR,站点自定义化验名
eicu,customLab,Pro BNP,站点自定义化验名
eicu,customLab,proBNP,站点自定义化验名
eicu,customLab,A/G ratio,站点自定义化验名
eicu,customLab,"Heparin Anti-Xa, Unfract",站点自定义化验名
eicu,customLab,Creatinine w GFR,站点自定义化验名
eicu,customLab,absolute neut,站点自定义化验名
eicu,customLab,NT-proBNP,站点自定义化验名
eicu,customLab,Hep anti-Xa level,站点自定义化验名
eicu,customLab,Abso Neuts,站点自定义化验名
eicu,customLab,Ionized Ca pH,站点自定义化验名
eicu,customLab,Ionized Ca,站点自定义化验名
eicu,customLab,URINE RBC,站点自定义化验名
eicu,customLab,URINE WBC,站点自定义化验名
eicu,customLab,Glycated Hemoglobin,站点自定义化验名
eicu,customLab,URINE NITRATE,站点自定义化验名
eicu,customLab,URINE pH,站点自定义化验名
eicu,customLab,URINE UROBILINOGEN,站点自定义化验名
eicu,customLab,URINE COLOR,站点自定义化验名
eicu,customLab,Ammonia,站点自定义化验名
eicu,customLab,Brain nat peptide,站点自定义化验名
eicu,customLab,neutrophil,站点自定义化验名
eicu,customLab,"Cortisol,AM",站点自定义化验名
eicu,customLab,"Occult Blood, Stool",站点自定义化验名
eicu,customLab,creat w/est GFR,站点自定义化验名
eicu,customLab,Whole Bld ionized,站点自定义化验名
eicu,customLab,URINE GLUCOSE,站点自定义化验名
eicu,customLab,URINE PROTEIN,站点自定义化验名
eicu,customLab,URINE BACTERIA,站点自定义化验名
eicu,customLab,MRSA,站点自定义化验名
eicu,customLab,amphetamine,站点自定义化验名
eicu,customLab,indirect bilirubin,站点自定义化验名
eicu,customLab,lactic acid,站点自定义化验名
eicu,customLab,Notes,站点自定义化验名
eicu,customLab,CLO Test,站点自定义化验名
eicu,customLab,hypochromasia,站点自定义化验名
