src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
eicu.respiratoryCharting,respFlowSettings|Pressure Support,respFlowSettings|Pressure Support,,,,numeric,0.0,9.9925,22.7386,308771,18033,0.1636,,,
eicu.respiratoryCharting,respFlowPtVentData|Plateau Pressure,respFlowPtVentData|Plateau Pressure,,,,numeric,0.0,19.9458,38.9282,275644,16701,0.1515,,,
eicu.respiratoryCharting,respFlowSettings|Flow Sensitivity,respFlowSettings|Flow Sensitivity,,,,numeric,-0.1932,3.0,5.0,226274,7375,0.0669,,,
eicu.respiratoryCharting,respFlowCareData|Head of Bed Elevation,respFlowCareData|Head of Bed Elevation,,,,categorical,,,,183336,11481,0.1041,,,
eicu.respiratoryCharting,respFlowPtVentData|Humidifier Temp,respFlowPtVentData|Humidifier Temp,,,,numeric,24.1081,37.0,98.6022,179486,8236,0.0747,,,
eicu.respiratoryCharting,respFlowPtVentData|Compliance,respFlowPtVentData|Compliance,,,,numeric,0.0,37.1527,234.2579,159827,8408,0.0763,,,
eicu.vitalAperiodic,noninvasivemean,noninvasivemean,,,,numeric,46.2183,79.3182,131.7907,16955382,108509,0.9841,,,
eicu.vitalAperiodic,noninvasivediastolic,noninvasivediastolic,,,,numeric,33.0312,63.5837,111.8053,16864898,108495,0.984,,,
eicu.vitalAperiodic,noninvasivesystolic,noninvasivesystolic,,,,numeric,72.2348,119.0556,186.1577,16863126,108493,0.984,,,
eicu.vitalPeriodic,heartrate,heartrate,,,,numeric,49.9157,84.3658,132.9247,111948231,108927,0.9879,,,
eicu.vitalPeriodic,sao2,sao2,,,,numeric,86.1596,97.0,100.0,102444806,108289,0.9822,,,
eicu.vitalPeriodic,respiration,respiration,,,,numeric,2.958,19.1434,40.044,98620481,101537,0.9209,,,
eicu.vitalPeriodic,st2,st2,,,,numeric,-2.0515,0.0,78.0315,44356498,53875,0.4886,,,
eicu.vitalPeriodic,st1,st1,,,,numeric,-1.463,0.0,45.9547,41960782,52072,0.4723,,,
eicu.vitalPeriodic,st3,st3,,,,numeric,-1.7226,0.0,64.6582,40946032,50774,0.4605,,,
eicu.vitalPeriodic,systemicmean,systemicmean,,,,numeric,49.059,77.9652,136.3896,22354840,32201,0.2921,,,
eicu.vitalPeriodic,systemicsystolic,systemicsystolic,,,,numeric,71.128,120.8,191.0455,22178536,31997,0.2902,,,
eicu.vitalPeriodic,systemicdiastolic,systemicdiastolic,,,,numeric,33.1266,57.9995,103.0329,22177450,31995,0.2902,,,
eicu.vitalPeriodic,cvp,cvp,,,,numeric,-3.9822,11.918,332.7557,15793718,21513,0.1951,,,
eicu.vitalPeriodic,temperature,temperature,,,,numeric,33.0673,37.2986,99.7915,10833234,14288,0.1296,,,
eicu.vitalPeriodic,etco2,etco2,,,,numeric,0.0,31.9736,58.3131,3733640,6342,0.0575,,,
eicu.vitalPeriodic,pamean,pamean,,,,numeric,9.9677,25.7658,54.8122,3339927,8304,0.0753,,,
eicu.vitalPeriodic,pasystolic,pasystolic,,,,numeric,16.3022,35.9999,80.6913,3318020,8230,0.0746,,,
eicu.vitalPeriodic,padiastolic,padiastolic,,,,numeric,4.8705,18.4753,41.2838,3317674,8232,0.0747,,,
