src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciii.LABEVENTS,50952,Iron,,Chemistry,ug/dL,numeric,7.0,34.4939,213.1958,4522,3565,0.1865,,,
mimiciii.LABEVENTS,50998,Transferrin,,Chemistry,mg/dL,numeric,55.9477,156.2652,331.7793,4403,3498,0.183,,,
mimiciii.LABEVENTS,50953,"Iron Binding Capacity, Total",,Chemistry,ug/dL,numeric,72.6998,203.3399,431.4909,4373,3481,0.1821,,,
mimiciii.LABEVENTS,50924,Ferritin,,Chemistry,ng/mL,mixed,11.5125,312.5577,1860.2655,4181,3446,0.1803,,,
mimiciii.LABEVENTS,51512,Urine Mucous,,Hematology,,categorical,0.0,0.0,0.0,4153,3296,0.1725,,,
mimiciii.LABEVENTS,51260,Ovalocytes,,Hematology,,categorical,,,,4084,2664,0.1394,,,
mimiciii.LABEVENTS,50935,Haptoglobin,,Chemistry,mg/dL,mixed,22.9828,176.1724,510.371,3901,2446,0.128,,,
mimiciii.LABEVENTS,50856,Acetaminophen,,Chemistry,ug/mL,mixed,5.045,12.525,480.9901,3720,3343,0.1749,,,
mimiciii.LABEVENTS,51104,"Urea Nitrogen, Urine",,Chemistry,mg/dL,numeric,36.6189,450.3204,1459.2349,3702,2645,0.1384,,,
mimiciii.LABEVENTS,50907,"Cholesterol, Total",,Chemistry,mg/dL,numeric,63.7962,153.7963,307.1795,3629,3286,0.1719,,,
mimiciii.LABEVENTS,50922,Ethanol,,Chemistry,mg/dL,mixed,11.545,160.405,512.4876,3576,3339,0.1747,,,
mimiciii.LABEVENTS,50981,Salicylate,,Chemistry,mg/dL,categorical,4.0,10.0,116.05,3537,3313,0.1733,,,
mimiciii.LABEVENTS,50880,Benzodiazepine Screen,,Chemistry,,categorical,,,,3520,3342,0.1749,,,
mimiciii.LABEVENTS,50879,Barbiturate Screen,,Chemistry,,categorical,,,,3500,3333,0.1744,,,
mimiciii.LABEVENTS,50999,Tricyclic Antidepressant Screen,,Chemistry,,categorical,,,,3489,3322,0.1738,,,
mimiciii.LABEVENTS,50904,"Cholesterol, HDL",,Chemistry,mg/dL,numeric,8.3905,41.6854,90.1676,3387,3102,0.1623,,,
mimiciii.LABEVENTS,50903,Cholesterol Ratio (Total/HDL),,Chemistry,Ratio,numeric,1.7082,3.6717,14.5677,3371,3090,0.1617,,,
mimiciii.LABEVENTS,50905,"Cholesterol, LDL, Calculated",,Chemistry,mg/dL,numeric,19.0312,82.4367,201.5951,3190,2948,0.1542,,,
mimiciii.LABEVENTS,51523,GR HOLD,,CHEMISTRY,,categorical,,,,3183,2887,0.1511,,,
mimiciii.LABEVENTS,51462,Amorphous Crystals,,Hematology,,categorical,,,,3007,2436,0.1275,,,
mimiciii.LABEVENTS,51482,Hyaline Casts,,Hematology,#/lpf,mixed,1.0,3.0,53.0626,2960,2463,0.1289,,,
mimiciii.LABEVENTS,50919,EDTA Hold,,Chemistry,,categorical,,,,2901,2469,0.1292,,,
mimiciii.LABEVENTS,50917,Digoxin,,Chemistry,ng/mL,numeric,0.2,1.0,3.7741,2860,1203,0.0629,,,
mimiciii.LABEVENTS,51010,Vitamin B12,,Chemistry,pg/mL,mixed,160.1739,632.5298,1930.7103,2782,2579,0.1349,,,
mimiciii.LABEVENTS,51079,"Cocaine, Urine",,Chemistry,,categorical,,,,2747,2618,0.137,,,
mimiciii.LABEVENTS,50852,% Hemoglobin A1c,,Chemistry,%,numeric,4.7989,6.0,13.6638,2738,2514,0.1315,,,
mimiciii.LABEVENTS,51071,"Amphetamine Screen, Urine",,Chemistry,,categorical,,,,2735,2609,0.1365,,,
mimiciii.LABEVENTS,51075,"Benzodiazepine Screen, Urine",,Chemistry,,categorical,,,,2726,2597,0.1359,,,
mimiciii.LABEVENTS,51074,"Barbiturate Screen, Urine",,Chemistry,,categorical,,,,2723,2601,0.1361,,,
mimiciii.LABEVENTS,51092,"Opiate Screen, Urine",,Chemistry,,categorical,,,,2720,2592,0.1356,,,
mimiciii.LABEVENTS,51090,"Methadone, Urine",,Chemistry,,categorical,,,,2716,2595,0.1358,,,
mimiciii.LABEVENTS,51283,"Reticulocyte Count, Automated",,Hematology,%,numeric,0.2,1.9535,9.0595,2502,1980,0.1036,,,
mimiciii.LABEVENTS,51097,"Potassium, Urine",,Chemistry,mEq/L,numeric,4.0178,35.627,92.7341,2353,1749,0.0915,,,
mimiciii.LABEVENTS,50925,Folate,,Chemistry,ng/mL,mixed,3.3179,10.8489,19.7808,2247,2106,0.1102,,,
mimiciii.LABEVENTS,51213,Fibrin Degradation Products,,Hematology,ug/mL,categorical,,,,2183,1296,0.0678,,,
mimiciii.LABEVENTS,51151,Burr Cells,,Hematology,,categorical,,,,2138,1540,0.0806,,,
mimiciii.LABEVENTS,51479,Granular Casts,,Hematology,#/lpf,mixed,1.0,3.9082,54.3001,2116,1723,0.0902,,,
mimiciii.LABEVENTS,51287,Schistocytes,,Hematology,,categorical,,,,2099,1375,0.0719,,,
mimiciii.LABEVENTS,51078,"Chloride, Urine",,Chemistry,mEq/L,mixed,10.5667,53.4735,203.7434,1856,1465,0.0767,,,
mimiciii.LABEVENTS,51296,Teardrop Cells,,Hematology,,categorical,,,,1733,1206,0.0631,,,
mimiciii.LABEVENTS,50995,"Thyroxine (T4), Free",,Chemistry,ng/dL,numeric,0.4006,1.1,3.078,1615,1331,0.0696,,,
mimiciii.LABEVENTS,51278,Red Blood Cell Fragments,,Hematology,,categorical,,,,1527,988,0.0517,,,
mimiciii.LABEVENTS,51102,"Total Protein, Urine",,Chemistry,mg/dL,mixed,6.1243,49.7273,1270.8622,1497,1166,0.061,,,
mimiciii.LABEVENTS,50940,Hepatitis B Surface Antibody,,Chemistry,,categorical,,,,1426,1212,0.0634,,,
mimiciii.LABEVENTS,50941,Hepatitis B Surface Antigen,,Chemistry,,categorical,,,,1421,1244,0.0651,,,
mimiciii.LABEVENTS,51145,Basophilic Stippling,,Hematology,,categorical,,,,1378,1013,0.053,,,
mimiciii.LABEVENTS,51474,Eosinophils,,Hematology,,categorical,,,,1359,1136,0.0594,,,
mimiciii.LABEVENTS,50943,Hepatitis C Virus Antibody,,Chemistry,,categorical,,,,1326,1238,0.0648,,,
mimiciii.LABEVENTS,51288,Sedimentation Rate,,Hematology,mm/hr,numeric,0.0,51.531,147.8112,1301,1006,0.0526,,,
mimiciii.LABEVENTS,51501,Transitional Epithelial Cells,,Hematology,#/hpf,mixed,1.0,1.5,309.2202,1192,1087,0.0569,,,
mimiciii.LABEVENTS,50942,Hepatitis B Virus Core Antibody,,Chemistry,,categorical,,,,1023,957,0.0501,,,
