src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.hosp.labevents,50976,"Protein, Total",,Chemistry,g/dL,numeric,3.605,5.7417,8.3538,3742,2674,0.0736,,,
mimiciv.hosp.labevents,51282,"Reticulocyte Count, Absolute",,Hematology,m/uL,numeric,0.01,0.07,0.2955,3703,2696,0.0742,,,
mimiciv.hosp.labevents,51107,"Urine tube, held",,Chemistry,,categorical,,,,3695,3224,0.0887,,,
mimiciv.hosp.labevents,51479,Granular Casts,,Hematology,#/lpf,mixed,1.0,4.0,78.8102,3271,2606,0.0717,,,
mimiciv.hosp.labevents,51657,HPE1,,Chemistry,,numeric,0.1611,0.3493,204.9984,2958,2500,0.0688,,,
mimiciv.hosp.labevents,51706,Problem Specimen,,Chemistry,,categorical,,,,2869,2493,0.0686,,,
mimiciv.hosp.labevents,53153,HIV Screen,,Chemistry,N/A,categorical,,,,2841,2723,0.0749,,,
mimiciv.hosp.labevents,51752,Voided Specimen,,Chemistry,,categorical,,,,2770,1920,0.0528,,,
mimiciv.hosp.labevents,50955,Light Green Top Hold,,Chemistry,,categorical,,,,2754,2381,0.0655,,,
mimiciv.hosp.labevents,51658,HPE2,,Chemistry,,mixed,3.6624,57.4691,952.1741,2746,2325,0.064,,,
mimiciv.hosp.labevents,51663,HPE7,,Chemistry,,numeric,0.027,0.039,97.8712,2734,2405,0.0662,,,
mimiciv.hosp.labevents,50856,Acetaminophen,,Chemistry,ug/mL,mixed,5.0,13.0,383.75,2728,2365,0.0651,,,
mimiciv.hosp.labevents,51659,HPE3,,Chemistry,,numeric,0.005,1.7466,2.1251,2621,2270,0.0625,,,
mimiciv.hosp.labevents,50925,Folate,,Chemistry,ng/mL,mixed,3.0,11.3808,19.5615,2481,2362,0.065,,,
mimiciv.hosp.labevents,50981,Salicylate,,Chemistry,mg/dL,mixed,4.09,26.9222,117.2,2475,2206,0.0607,,,
mimiciv.hosp.labevents,51102,"Total Protein, Urine",,Chemistry,mg/dL,numeric,5.0,45.9833,1260.3625,2424,1925,0.053,,,
mimiciv.hosp.labevents,50995,"Thyroxine (T4), Free",,Chemistry,ng/dL,numeric,0.2951,1.1,3.8883,2370,1868,0.0514,,,
mimiciv.hosp.labevents,51075,"Benzodiazepine Screen, Urine",,Chemistry,N/A,categorical,,,,2301,2205,0.0607,,,
mimiciv.hosp.labevents,51079,"Cocaine, Urine",,Chemistry,N/A,categorical,,,,2298,2223,0.0612,,,
mimiciv.hosp.labevents,51071,"Amphetamine Screen, Urine",,Chemistry,N/A,categorical,,,,2285,2207,0.0607,,,
mimiciv.hosp.labevents,51092,"Opiate Screen, Urine",,Chemistry,N/A,categorical,,,,2281,2203,0.0606,,,
mimiciv.hosp.labevents,51074,"Barbiturate Screen, Urine",,Chemistry,N/A,categorical,,,,2264,2190,0.0603,,,
mimiciv.hosp.labevents,51090,"Methadone, Urine",,Chemistry,N/A,categorical,,,,2262,2191,0.0603,,,
mimiciv.hosp.labevents,50922,Ethanol,,Chemistry,mg/dL,mixed,10.0,132.0,512.2,2223,2131,0.0586,,,
mimiciv.hosp.labevents,50999,Tricyclic Antidepressant Screen,,Chemistry,N/A,categorical,,,,2160,2082,0.0573,,,
mimiciv.hosp.labevents,52036,Voided Specimen,,Blood Gas,,categorical,,,,2050,1822,0.0501,,,
mimiciv.icu.chartevents,227969,Safety Measures,Safety Measures,Restraint/Support Systems,,categorical,,,,5777936,34287,0.9435,,,
mimiciv.icu.chartevents,220048,Heart Rhythm,Heart Rhythm,Routine Vital Signs,,categorical,,,,3583284,36294,0.9987,,,
mimiciv.icu.chartevents,224650,Ectopy Type 1,Ectopy Type 1,Routine Vital Signs,,categorical,,,,3188979,35809,0.9854,,,
mimiciv.icu.chartevents,227958,Less Restrictive Measures,Less Restrictive Measures,Restraint/Support Systems,,categorical,,,,2393324,17336,0.4771,,,
