db,base_concept
eicu,aado2
eicu,amylase
eicu,atypical_lymphocytes
eicu,basophils
eicu,basophils_abs
eicu,bilirubin_direct
eicu,bilirubin_indirect
eicu,carboxyhemoglobin
eicu,ck_cpk
eicu,ck_mb
eicu,crp
eicu,d_dimer
eicu,dobutamine
eicu,dopamine
eicu,ectopy_frequency
eicu,ectopy_frequency_secondary
eicu,ectopy_type
eicu,ectopy_type_secondary
eicu,eosinophils
eicu,eosinophils_abs
eicu,epinephrine
eicu,fibrinogen
eicu,fio2
eicu,ggt
eicu,globulin
eicu,granulocytes_abs
eicu,immature_granulocytes
eicu,intubated
eicu,ld_ldh
eicu,lymphocytes
eicu,lymphocytes_abs
eicu,mbp
eicu,mch
eicu,mchc
eicu,mcv
eicu,metamyelocytes
eicu,methemoglobin
eicu,minute_volume
eicu,monocytes
eicu,monocytes_abs
eicu,neutrophils
eicu,neutrophils_abs
eicu,norepinephrine
eicu,nrbc
eicu,ntprobnp
eicu,o2_flow_additional
eicu,plateau_pressure
eicu,rbc
eicu,rdw
eicu,requiredo2
eicu,so2
eicu,temperature_site
eicu,thrombin
eicu,tidal_volume
eicu,total_protein
eicu,troponin_t
eicu,ventilator
eicu,ventilator_mode
eicu,ventilator_mode_hamilton
eicu,ventilator_type
eicu,weight
mimic-iii,alkaline_phosphatase
mimic-iii,alt
mimic-iii,ast
mimic-iii,base_deficit
mimic-iii,basophils_abs
mimic-iii,bp
mimic-iii,ci
mimic-iii,co
mimic-iii,cpp
mimic-iii,delirium_scale
mimic-iii,delirium_score
mimic-iii,ectopy_frequency
mimic-iii,ectopy_frequency_secondary
mimic-iii,ectopy_type
mimic-iii,ectopy_type_secondary
mimic-iii,eosinophils_abs
mimic-iii,etco2
mimic-iii,gcs
mimic-iii,gcs_eyes
mimic-iii,gcs_motor
mimic-iii,gcs_unable
mimic-iii,gcs_verbal
mimic-iii,iap
mimic-iii,icp
mimic-iii,immature_granulocytes
mimic-iii,minute_volume
mimic-iii,monocytes_abs
mimic-iii,neutrophils_abs
mimic-iii,o2_device
mimic-iii,o2_flow_additional
mimic-iii,padiastolic
mimic-iii,pain_goal
mimic-iii,pain_score
mimic-iii,pamean
mimic-iii,paop
mimic-iii,pasystolic
mimic-iii,plateau_pressure
mimic-iii,pvr
mimic-iii,pvri
mimic-iii,sedation_goal
mimic-iii,sedation_scale
mimic-iii,sedation_score
mimic-iii,sv
mimic-iii,svo2
mimic-iii,svr
mimic-iii,svri
mimic-iii,temperature_site
mimic-iii,temperaturelocation
mimic-iii,ventilator_mode
mimic-iii,ventilator_mode_hamilton
mimic-iii,ventilator_type
mimic-iv,base_deficit
mimic-iv,bp
mimic-iv,ci
mimic-iv,co
mimic-iv,cpp
mimic-iv,delirium_scale
mimic-iv,delirium_score
mimic-iv,dobutamine
mimic-iv,dopamine
mimic-iv,epinephrine
mimic-iv,etco2
mimic-iv,gcs
mimic-iv,gcs_eyes
mimic-iv,gcs_motor
mimic-iv,gcs_unable
mimic-iv,gcs_verbal
mimic-iv,iap
mimic-iv,icp
mimic-iv,intubated
mimic-iv,norepinephrine
mimic-iv,o2_device
mimic-iv,padiastolic
mimic-iv,pain_goal
mimic-iv,pain_score
mimic-iv,pamean
mimic-iv,paop
mimic-iv,pasystolic
mimic-iv,pvr
mimic-iv,pvri
mimic-iv,sedation_goal
mimic-iv,sedation_scale
mimic-iv,sedation_score
mimic-iv,sv
mimic-iv,svo2
mimic-iv,svr
mimic-iv,svri
mimic-iv,temperaturelocation
mimic-iv,ventilator
mimic-iv,weight
