src_table,field_key,label,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.INPUTEVENTS_CV,30013,D5W,,categorical,,,,1879439,17925,0.9379,,,
mimiciii.INPUTEVENTS_CV,30018,.9% Normal Saline,,categorical,,,,1720524,15501,0.8111,,,
mimiciii.INPUTEVENTS_CV,30131,Propofol,mcgkgmin,mixed,0.0,30.0,100.4562,730345,8813,0.4611,,,
mimiciii.INPUTEVENTS_CV,30045,Insulin,Uhr,mixed,0.0,3.0,18.9525,630018,5290,0.2768,,,
mimiciii.INPUTEVENTS_CV,30118,Fentanyl,mcghr,mixed,0.0,75.5816,590.7269,575074,2447,0.128,,,
mimiciii.INPUTEVENTS_CV,30025,Heparin,Uhr,mixed,0.0,974.1089,2812.8338,446901,3380,0.1769,,,
mimiciii.INPUTEVENTS_CV,30128,Neosynephrine-k,mcgkgmin,mixed,0.0,0.7304,6.1769,425838,5169,0.2705,,,
mimiciii.INPUTEVENTS_CV,30124,Midazolam,mghr,mixed,0.0,2.8443,27.8097,368416,1692,0.0885,,,
mimiciii.INPUTEVENTS_CV,30120,Levophed-k,mcgkgmin,mixed,0.0,0.0802,0.8844,332718,2722,0.1424,,,
mimiciii.INPUTEVENTS_CV,30140,N/A,,categorical,,,,293644,8477,0.4435,,,
mimiciii.INPUTEVENTS_CV,30026,KCL,,categorical,,,,229473,9343,0.4889,,,
mimiciii.INPUTEVENTS_CV,30112,Amiodarone,mgmin,mixed,0.0,0.5,1.0,198565,1657,0.0867,,,
mimiciii.INPUTEVENTS_CV,30121,Nitroglycerine-k,mcgkgmin,mixed,0.0,0.7997,5.7654,189087,3890,0.2035,,,
mimiciii.INPUTEVENTS_CV,30021,Lactated Ringers,,categorical,,,,164410,7328,0.3834,,,
mimiciii.INPUTEVENTS_CV,30015,D5/.45NS,,categorical,,,,145611,4667,0.2442,,,
mimiciii.INPUTEVENTS_CV,30056,Po Intake,,categorical,,,,138656,14782,0.7734,,,
mimiciii.INPUTEVENTS_CV,30032,TPN,,categorical,,,,137889,1137,0.0595,,,
mimiciii.INPUTEVENTS_CV,30166,Promote w/fiber,,categorical,,,,126846,1408,0.0737,,,
mimiciii.INPUTEVENTS_CV,30043,Dopamine,mcgkgmin,mixed,0.0,3.9966,20.0,114956,1603,0.0839,,,
mimiciii.INPUTEVENTS_CV,30073,Impact w/fiber,,categorical,,,,113821,1049,0.0549,,,
mimiciii.INPUTEVENTS_CV,30144,Gastric Meds,,categorical,,,,99753,6065,0.3173,,,
mimiciii.INPUTEVENTS_CV,30050,Nitroprusside,mcgkgmin,mixed,0.0,0.8741,5.2484,94886,1288,0.0674,,,
mimiciii.INPUTEVENTS_CV,30126,Morphine Sulfate,mghr,mixed,0.0,4.0,43.7879,74697,1092,0.0571,,,
mimiciii.INPUTEVENTS_CV,30095,TF Residual,,categorical,,,,71040,3747,0.1961,,,
mimiciii.INPUTEVENTS_CV,30020,.45% Normal Saline,,categorical,,,,50207,2104,0.1101,,,
mimiciii.INPUTEVENTS_CV,30001,Packed RBC's,,categorical,,,,39354,7358,0.385,,,
mimiciii.INPUTEVENTS_CV,30060,D5NS,,categorical,,,,23863,987,0.0516,,,
mimiciii.INPUTEVENTS_CV,30059,GT Flush,,categorical,,,,23735,2039,0.1067,,,
mimiciii.INPUTEVENTS_CV,30030,Sodium Bicarbonate,,categorical,,,,23519,1409,0.0737,,,
mimiciii.INPUTEVENTS_CV,30058,Free Water Bolus,,categorical,,,,19434,1167,0.0611,,,
mimiciii.INPUTEVENTS_CV,30029,Potassium Phosphate,,categorical,,,,18732,1414,0.074,,,
mimiciii.INPUTEVENTS_CV,30005,Fresh Frozen Plasma,,categorical,,,,15372,2703,0.1414,,,
mimiciii.INPUTEVENTS_CV,30065,Sterile Water,,categorical,,,,15259,1336,0.0699,,,
mimiciii.INPUTEVENTS_CV,30101,OR Crystalloid,,categorical,,,,12535,5979,0.3128,,,
mimiciii.INPUTEVENTS_CV,30054,Pre-Admission Intake,,categorical,,,,6496,3885,0.2033,,,
mimiciii.INPUTEVENTS_CV,30006,Platelets,,categorical,,,,5243,1436,0.0751,,,
mimiciii.INPUTEVENTS_CV,30102,OR Colloid,,categorical,,,,4796,2500,0.1308,,,
mimiciii.INPUTEVENTS_CV,30104,OR Packed RBC's,,categorical,,,,2676,1229,0.0643,,,
mimiciii.INPUTEVENTS_CV,30055,Cath Lab Intake,,categorical,,,,1939,1155,0.0604,,,
