src_table,field_key,label,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.prescriptions,0.9% Sodium Chloride,0.9% Sodium Chloride,mL,numeric,1.0,249.7578,1000.0,213011,30262,0.8327,,,
mimiciv.hosp.prescriptions,Potassium Chloride,Potassium Chloride,mEq,numeric,10.0,40.0,80.0,170327,26905,0.7404,,,
mimiciv.hosp.prescriptions,Insulin,Insulin,UNIT,numeric,0.0,2.6874,60.8356,152488,23161,0.6373,,,
mimiciv.hosp.prescriptions,Furosemide,Furosemide,mg,numeric,10.0,40.0,250.0,118951,19390,0.5336,,,
mimiciv.hosp.prescriptions,Sodium Chloride 0.9%  Flush,Sodium Chloride 0.9%  Flush,mL,mixed,3.0,3.0,20.0,111142,34743,0.9561,,,
mimiciv.hosp.prescriptions,5% Dextrose,5% Dextrose,mL,numeric,25.0,250.0,1000.0,107936,21696,0.597,,,
mimiciv.hosp.prescriptions,Bag,Bag,BAG,numeric,1.0,1.0,5000.0,101996,24941,0.6863,,,
mimiciv.hosp.prescriptions,Magnesium Sulfate,Magnesium Sulfate,gm,numeric,2.0,2.0,4.0,95425,28574,0.7863,,,
mimiciv.hosp.prescriptions,Metoprolol Tartrate,Metoprolol Tartrate,mg,numeric,2.5,12.5,100.0,93612,17824,0.4905,,,
mimiciv.hosp.prescriptions,Acetaminophen,Acetaminophen,mg,mixed,325.0,650.0,1000.0,76318,30086,0.8279,,,
mimiciv.hosp.prescriptions,Iso-Osmotic Dextrose,Iso-Osmotic Dextrose,mL,numeric,50.0,195.7801,200.0,73674,21689,0.5968,,,
mimiciv.hosp.prescriptions,Calcium Gluconate,Calcium Gluconate,g,numeric,0.0,2.0,20.0,63764,21916,0.6031,,,
mimiciv.hosp.prescriptions,Vancomycin,Vancomycin,mg,numeric,0.0,1000.0,1524.7315,58425,17170,0.4725,,,
mimiciv.hosp.prescriptions,Heparin,Heparin,UNIT,mixed,883.3477,5000.0,7502.35,56039,27292,0.751,,,
mimiciv.hosp.prescriptions,HYDROmorphone (Dilaudid),HYDROmorphone (Dilaudid),mg,mixed,0.12,0.5,20.0,45668,12169,0.3349,,,
mimiciv.hosp.prescriptions,Senna,Senna,mg,numeric,1.0,8.6,17.2,45072,24470,0.6734,,,
mimiciv.hosp.prescriptions,Sodium Chloride 0.9%,Sodium Chloride 0.9%,mL,numeric,910.2275,1000.0,1000.0,44907,12599,0.3467,,,
mimiciv.hosp.prescriptions,Docusate Sodium,Docusate Sodium,mg,numeric,100.0,100.0,194.5348,44406,22645,0.6231,,,
mimiciv.hosp.prescriptions,Sterile Water,Sterile Water,mL,numeric,50.0,100.0,208.5248,43934,14062,0.387,,,
mimiciv.hosp.prescriptions,Lactated Ringers,Lactated Ringers,mL,numeric,729.8078,1000.0,1000.0,43035,15701,0.4321,,,
mimiciv.hosp.prescriptions,SW,SW,mL,numeric,50.0,200.0,800.0,42065,12576,0.3461,,,
