src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
eicu.lab,uric acid,uric acid,,,mg/dL,numeric,0.7296,5.1477,16.2703,10104,4787,0.0434,,,
eicu.lab,CRP,CRP,,,mg/dL,mixed,0.1516,10.2095,2558.3111,8833,5500,0.0499,,,
eicu.lab,PTT ratio,PTT ratio,,,ratio,numeric,0.7,1.1415,5.1213,8593,2634,0.0239,,,
eicu.lab,Spontaneous Rate,Spontaneous Rate,,,/min,numeric,0.0,19.0157,49.9063,7862,2799,0.0254,,,
eicu.lab,Peak Airway/Pressure,Peak Airway/Pressure,,,cm H2O,numeric,5.0,20.0,49.0633,7375,2520,0.0229,,,
eicu.lab,urinary osmolality,urinary osmolality,,,mOsm/L,numeric,75.7319,386.5546,908.3122,7181,5390,0.0489,,,
eicu.lab,Digoxin,Digoxin,,,ng/mL,mixed,0.1001,1.0003,4.9788,6257,4082,0.037,,,
eicu.lab,Acetaminophen,Acetaminophen,,,mcg/mL,mixed,0.0,8.283,372.3752,5317,4440,0.0403,,,
eicu.lab,reticulocyte count,reticulocyte count,,,%,numeric,0.1,2.1297,52.9267,4659,3728,0.0338,,,
eicu.lab,Phenytoin,Phenytoin,,,mcg/mL,numeric,0.9689,11.0665,35.2442,4485,1839,0.0167,,,
eicu.lab,salicylate,salicylate,,,mg/dL,mixed,0.118,3.9527,107.9557,4010,3530,0.032,,,
eicu.lab,haptoglobin,haptoglobin,,,mg/dL,mixed,7.8638,162.7769,505.8487,3373,2594,0.0235,,,
eicu.lab,transferrin,transferrin,,,mg/dL,numeric,48.0067,152.7747,353.5164,3238,2855,0.0259,,,
eicu.lab,protein - CSF,protein - CSF,,,mg/dL,numeric,6.659,52.2454,953.1846,3224,2135,0.0194,,,
eicu.lab,glucose - CSF,glucose - CSF,,,mg/dL,numeric,10.3762,74.2351,207.8881,3165,2111,0.0191,,,
eicu.lab,myoglobin,myoglobin,,,ng/mL,numeric,19.1953,113.1655,10059.5618,2828,1562,0.0142,,,
eicu.lab,WBC's in cerebrospinal fluid,WBC's in cerebrospinal fluid,,,,mixed,0.0,6.1682,7511.2312,2526,1656,0.015,,,
eicu.lab,24 h urine protein,24 h urine protein,,,mg/24HR,mixed,4.8929,48.3439,7494.9218,2251,1883,0.0171,,,
eicu.lab,WBC's in body fluid,WBC's in body fluid,,,,numeric,0.0,377.2432,159919.9143,1563,1255,0.0114,,,
eicu.lab,T4,T4,,,mcg/dL,numeric,1.8712,6.7975,19.6183,1367,1292,0.0117,,,
eicu.nurseCharting,Other Vital Signs and Infusions|MAP (mmHg)|Value,Other Vital Signs and Infusions|MAP (mmHg)|Value,,,,numeric,53.3152,85.9089,137.8494,491447,5026,0.0456,,,
eicu.nurseCharting,Other Vital Signs and Infusions|Arterial Line MAP (mmHg)|Value,Other Vital Signs and Infusions|Arterial Line MAP (mmHg)|Value,,,,numeric,48.6859,77.3463,128.2318,429465,4309,0.0391,,,
