src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.CHARTEVENTS,226,ICP,,,mmHg,numeric,0.2743,9.9709,47.3814,90226,482,0.0252,,,
mimiciii.CHARTEVENTS,92,CPP,,,mmHg,numeric,39.2004,80.8512,134.7352,78192,472,0.0247,,,
mimiciii.CHARTEVENTS,688,Trach [Cuff],,,,categorical,,,,56021,918,0.048,,,
mimiciii.CHARTEVENTS,201,GI Intub #2 [Type],,,,categorical,,,,55830,860,0.045,,,
mimiciii.CHARTEVENTS,8479,Trach [Fenestra],,,,categorical,,,,55656,914,0.0478,,,
mimiciii.CHARTEVENTS,8389,GI Intub #2 [Site],,,,categorical,,,,55033,844,0.0442,,,
mimiciii.CHARTEVENTS,464,Neuro Drain Type,,,,categorical,,,,48331,509,0.0266,,,
mimiciii.CHARTEVENTS,463,Neuro Drain Status,,,,categorical,,,,47423,479,0.0251,,,
mimiciii.CHARTEVENTS,462,Neuro Drain [Level],,,,categorical,,,,45194,439,0.023,,,
mimiciii.CHARTEVENTS,225,IABP setting,,,,categorical,,,,45026,697,0.0365,,,
mimiciii.CHARTEVENTS,8443,Neuro Drain [Location],,,,categorical,,,,43693,416,0.0218,,,
mimiciii.CHARTEVENTS,205,GI#2 Tube [Status],,,,categorical,,,,42905,830,0.0434,,,
mimiciii.CHARTEVENTS,461,Neuro Drain Drainage,,,,categorical,,,,42640,447,0.0234,,,
mimiciii.CHARTEVENTS,163,Edema #1 [Location],,,,categorical,,,,42136,841,0.044,,,
mimiciii.CHARTEVENTS,8383,Edema #1 [Amount],,,,categorical,,,,39335,797,0.0417,,,
mimiciii.CHARTEVENTS,152,Dialysis Type,,,,categorical,,,,38871,337,0.0176,,,
mimiciii.CHARTEVENTS,611,Replace Rate ml/hr,,,ml/hr,numeric,199.7439,1500.0,2000.0,38427,313,0.0164,,,
mimiciii.CHARTEVENTS,148,Dialysis Access Site,,,,categorical,,,,38247,343,0.0179,,,
mimiciii.CHARTEVENTS,79,Blood Flow ml/min,,,cc/min,numeric,80.0,100.1346,180.0,38218,310,0.0162,,,
mimiciii.CHARTEVENTS,149,Dialysis Access Type,,,,categorical,,,,37907,346,0.0181,,,
mimiciii.CHARTEVENTS,142,Current Goal,,,,numeric,-211.4344,0.0,411.4453,37472,298,0.0156,,,
mimiciii.CHARTEVENTS,612,Replace.Fluid Infuse,,,,categorical,,,,36991,296,0.0155,,,
mimiciii.CHARTEVENTS,147,Dialysate Infusing,,,,categorical,,,,36936,301,0.0157,,,
mimiciii.CHARTEVENTS,146,Dialysate Flow ml/hr,,,ml/hr,numeric,0.0,500.0,1500.0,36529,298,0.0156,,,
mimiciii.CHARTEVENTS,29,Access mmHg,,,,numeric,-162.0724,-56.9351,141.1006,36449,312,0.0163,,,
mimiciii.CHARTEVENTS,192,Filter Pressure mmHg,,,mmHg,numeric,75.0221,143.9781,272.2856,36044,314,0.0164,,,
mimiciii.CHARTEVENTS,624,Return Pressure mmHg,,,mmHg,numeric,42.9915,86.8385,184.2538,35967,314,0.0164,,,
mimiciii.CHARTEVENTS,665,System Integrity,,,,categorical,,,,35897,304,0.0159,,,
mimiciii.CHARTEVENTS,173,Effluent Press mmHg,,,mmHg,numeric,-198.3555,-27.2404,141.5899,35555,311,0.0163,,,
mimiciii.CHARTEVENTS,1699,GI Tube #2 [Site],,,,categorical,,,,32233,533,0.0279,,,
mimiciii.CHARTEVENTS,8493,GI Tube #2 [Site],,,,categorical,,,,31822,523,0.0274,,,
mimiciii.CHARTEVENTS,5816,ICP Alarm [Low],,,mmHg,numeric,0.0,0.0,10.2274,31301,863,0.0452,,,
mimiciii.CHARTEVENTS,5683,Hourly PFR,,,,numeric,-48.7944,150.0397,574.9728,30377,231,0.0121,,,
mimiciii.CHARTEVENTS,8550,ICP Alarm [High],,,mmHg,numeric,13.5262,20.0,74.3646,30288,250,0.0131,,,
mimiciii.CHARTEVENTS,508,PT Splint #1 [Location],,,,categorical,,,,28749,486,0.0254,,,
mimiciii.CHARTEVENTS,8450,PT Splint #1 [Status],,,,categorical,,,,28462,475,0.0249,,,
mimiciii.CHARTEVENTS,414,Incision/Wound #4,,,,categorical,,,,28086,865,0.0453,,,
mimiciii.CHARTEVENTS,55,Assisted Systole,,,mmHg,numeric,57.5292,93.5343,151.3189,27804,695,0.0364,,,
mimiciii.CHARTEVENTS,59,Augmented Diastole,,,mmHg,numeric,63.3795,106.7594,159.9249,27729,694,0.0363,,,
mimiciii.CHARTEVENTS,62,BAEDP,,,mmHg,numeric,23.7138,54.0918,93.2535,27552,694,0.0363,,,
mimiciii.CHARTEVENTS,224,IABP Mean,,,mmHg,numeric,50.9773,79.304,122.2972,26770,693,0.0363,,,
mimiciii.CHARTEVENTS,666,Systolic Unloading,,,%,numeric,1.0,11.0059,46.7896,24581,691,0.0362,,,
mimiciii.CHARTEVENTS,597,RUE [Temperature],,,,categorical,,,,23586,726,0.038,,,
mimiciii.CHARTEVENTS,8471,RUE [Color],,,,categorical,,,,23288,724,0.0379,,,
mimiciii.CHARTEVENTS,151,Dialysis Site Appear,,,,categorical,,,,23280,327,0.0171,,,
mimiciii.CHARTEVENTS,253,INV Line#5 [Type],,,,categorical,,,,22983,601,0.0314,,,
mimiciii.CHARTEVENTS,8396,INV Line#5 [Site],,,,categorical,,,,22348,584,0.0306,,,
mimiciii.CHARTEVENTS,194,Flow-By (lpm),,,lpm,numeric,0.0,6.0,8.8106,22289,827,0.0433,,,
mimiciii.CHARTEVENTS,195,Flow-by Sensitivity,,,cmH2O,numeric,0.0273,2.0,3.5769,21678,832,0.0435,,,
mimiciii.CHARTEVENTS,403,Inc #4 [Dressing],,,,categorical,,,,21313,864,0.0452,,,
mimiciii.CHARTEVENTS,395,Inc #4 [Drainage],,,,categorical,,,,19505,853,0.0446,,,
mimiciii.CHARTEVENTS,134,Cooling [Device],,,,categorical,,,,18664,906,0.0474,,,
mimiciii.CHARTEVENTS,509,PT Splint #2 [Location],,,,categorical,,,,18663,259,0.0136,,,
mimiciii.CHARTEVENTS,8451,PT Splint #2 [Status],,,,categorical,,,,18543,254,0.0133,,,
mimiciii.CHARTEVENTS,554,Press Sore Site #2,,,,categorical,,,,18483,379,0.0198,,,
mimiciii.CHARTEVENTS,153,Diastolic Unloading,,,%,numeric,1.0,6.0,28.2465,18256,689,0.0361,,,
mimiciii.CHARTEVENTS,256,INV Line#5SiteAppear,,,,categorical,,,,18189,585,0.0306,,,
mimiciii.CHARTEVENTS,8379,Cooling [Status],,,,categorical,,,,17850,885,0.0463,,,
mimiciii.CHARTEVENTS,164,Edema #2 [Location],,,,categorical,,,,15884,318,0.0166,,,
mimiciii.CHARTEVENTS,8433,Inc #4 [Status],,,,categorical,,,,15513,822,0.043,,,
mimiciii.CHARTEVENTS,115,Capillary Refill [Right],,,,categorical,,,,15476,805,0.0421,,,
mimiciii.CHARTEVENTS,8384,Edema #2 [Amount],,,,categorical,,,,15014,300,0.0157,,,
mimiciii.CHARTEVENTS,6702,Arterial BP Mean #2,,,mmHg,numeric,46.9159,75.9743,126.1078,14998,374,0.0196,,,
mimiciii.CHARTEVENTS,641,Sitter,,,,categorical,,,,14825,789,0.0413,,,
mimiciii.CHARTEVENTS,594,ROM [Type],,,,categorical,,,,14268,667,0.0349,,,
mimiciii.CHARTEVENTS,377,Impaired Skin Site#4,,,,categorical,,,,14268,603,0.0316,,,
mimiciii.CHARTEVENTS,8377,Capillary Refill [Left],,,,categorical,,,,14240,761,0.0398,,,
mimiciii.CHARTEVENTS,48,Angio Site #2,,,,categorical,,,,13937,526,0.0275,,,
mimiciii.CHARTEVENTS,1430,Nausea and Vomiting,,,,categorical,,,,13782,851,0.0445,,,
mimiciii.CHARTEVENTS,98,CT #2 Crepitus,,,,categorical,,,,13743,467,0.0244,,,
mimiciii.CHARTEVENTS,603,Radial Pulse [Right],,,,categorical,,,,13729,719,0.0376,,,
mimiciii.CHARTEVENTS,1437,Tremor,,,,categorical,,,,13707,843,0.0441,,,
mimiciii.CHARTEVENTS,1432,Paroxysmal Sweats,,,,categorical,,,,13689,840,0.044,,,
mimiciii.CHARTEVENTS,1421,Anxiety,,,,categorical,,,,13646,860,0.045,,,
mimiciii.CHARTEVENTS,1420,Aggitation,,,,categorical,,,,13587,848,0.0444,,,
mimiciii.CHARTEVENTS,8470,ROM [Value],,,,categorical,,,,13369,653,0.0342,,,
mimiciii.CHARTEVENTS,1423,Auditory Disturbance,,,,categorical,,,,13342,842,0.0441,,,
mimiciii.CHARTEVENTS,1436,Tactile Disturbances,,,,categorical,,,,13308,837,0.0438,,,
mimiciii.CHARTEVENTS,1428,Headache,,,,categorical,,,,13303,840,0.044,,,
mimiciii.CHARTEVENTS,1439,Visual Disturbances,,,,categorical,,,,13285,839,0.0439,,,
mimiciii.CHARTEVENTS,1431,Orient/Clouding Sens,,,,categorical,,,,13031,832,0.0435,,,
mimiciii.CHARTEVENTS,487,Ostomy [Type],,,,categorical,,,,13021,372,0.0195,,,
mimiciii.CHARTEVENTS,1424,CIWA Sum Total,,,sum,numeric,0.0,5.3576,27.2057,12733,820,0.0429,,,
mimiciii.CHARTEVENTS,494,PCA Basal Rate,,,,numeric,0.0,0.0,9.8803,12587,595,0.0311,,,
mimiciii.CHARTEVENTS,8447,Ostomy [Appearance],,,,categorical,,,,12473,367,0.0192,,,
mimiciii.CHARTEVENTS,8473,Radial Pulse [Left],,,,categorical,,,,12439,699,0.0366,,,
mimiciii.CHARTEVENTS,359,ImpSkin Treatment #4,,,,categorical,,,,12012,578,0.0302,,,
mimiciii.CHARTEVENTS,389,Inc #4 [Closure],,,,categorical,,,,11944,699,0.0366,,,
mimiciii.CHARTEVENTS,44,Angio Appearance #2 [Attribute 1],,,,categorical,,,,11262,524,0.0274,,,
mimiciii.CHARTEVENTS,287,INV#5 WaveformAppear,,,,categorical,,,,11181,435,0.0228,,,
mimiciii.CHARTEVENTS,573,Pressure Sore Odor#1,,,,categorical,,,,11008,933,0.0488,,,
mimiciii.CHARTEVENTS,347,ImpSkin Character #4,,,,categorical,,,,10980,590,0.0309,,,
mimiciii.CHARTEVENTS,8419,Inc #4 [Appearance],,,,categorical,,,,10384,665,0.0348,,,
mimiciii.CHARTEVENTS,176,Epi Infusion Rate,,,,mixed,0.0,8.0,15.8383,10361,434,0.0227,,,
mimiciii.CHARTEVENTS,124,Chest Tube Site #3,,,,categorical,,,,10209,366,0.0192,,,
mimiciii.CHARTEVENTS,180,Epidural Medication,,,,categorical,,,,10143,433,0.0227,,,
mimiciii.CHARTEVENTS,1624,PreSep Catheter SVO2,,,%,numeric,49.2951,75.1126,93.2833,9952,360,0.0188,,,
