src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.labevents,51007,Uric Acid,,Chemistry,mg/dL,numeric,0.6125,4.041,14.1698,10811,1778,0.0489,,,
mimiciv.hosp.labevents,50986,tacroFK,,Chemistry,ng/mL,mixed,2.182,7.3704,19.5444,8004,612,0.0168,,,
mimiciv.hosp.labevents,51228,Heparin,,Hematology,IU/mL,numeric,0.05,0.3425,1.4377,7409,697,0.0192,,,
mimiciv.hosp.labevents,50967,Phenytoin,,Chemistry,ug/mL,numeric,1.2846,10.6656,25.6872,6366,1212,0.0334,,,
mimiciv.hosp.labevents,53161,Estimated GFR (CKD- EPI Refit),,Chemistry,mL/min/1.73m2,numeric,6.2417,76.7258,135.6329,3688,1192,0.0328,,,
mimiciv.hosp.labevents,51294,Target Cells,,Hematology,N/A,categorical,0.0,0.0,0.0,3230,1642,0.0452,,,
mimiciv.hosp.labevents,51196,D-Dimer,,Hematology,ng/mL FEU,mixed,304.785,1959.7035,19238.7522,3077,867,0.0239,,,
mimiciv.hosp.labevents,52264,Lymphs,,Hematology,%,numeric,0.0,42.1667,100.0,2438,1248,0.0343,,,
mimiciv.hosp.labevents,52272,Monocytes,,Hematology,%,numeric,0.0,8.2304,70.9014,2438,1248,0.0343,,,
mimiciv.hosp.labevents,52286,"Total Nucleated Cells, CSF",,Hematology,#/uL,numeric,0.0,7.847,5790.6577,2438,1247,0.0343,,,
mimiciv.hosp.labevents,52281,Polys,,Hematology,%,numeric,0.0,17.6087,97.5019,2438,1248,0.0343,,,
mimiciv.hosp.labevents,52285,"RBC, CSF",,Hematology,#/uL,numeric,0.0,145.092,237139.1881,2384,1234,0.034,,,
mimiciv.hosp.labevents,51292,Spherocytes,,Hematology,N/A,categorical,0.0,0.0,0.0,2327,1023,0.0282,,,
mimiciv.hosp.labevents,51120,Monocytes,,Hematology,%,numeric,0.0,1.9818,66.116,2260,1025,0.0282,,,
mimiciv.hosp.labevents,51125,Polys,,Hematology,%,numeric,0.0,21.6671,97.5971,2260,1025,0.0282,,,
mimiciv.hosp.labevents,52065,"Total Nucleated Cells, Ascites",,Hematology,#/uL,numeric,4.558,227.8775,47059.3832,2260,1025,0.0282,,,
mimiciv.hosp.labevents,51116,Lymphocytes,,Hematology,%,numeric,0.0,17.8407,85.4653,2260,1025,0.0282,,,
mimiciv.hosp.labevents,51127,"RBC, Ascites",,Hematology,#/uL,numeric,2.9076,1328.835,381310.3954,2181,997,0.0274,,,
mimiciv.hosp.labevents,50917,Digoxin,,Chemistry,ng/mL,numeric,0.2243,1.0,4.1022,2159,985,0.0271,,,
mimiciv.hosp.labevents,51134,Acanthocytes,,Hematology,N/A,categorical,,,,2099,1352,0.0372,,,
mimiciv.hosp.labevents,51099,Protein/Creatinine Ratio,,Chemistry,mg/mg,numeric,0.1,0.7463,22.9047,2006,1580,0.0435,,,
mimiciv.hosp.labevents,50930,Globulin,,Chemistry,g/dL,numeric,1.0467,2.4396,5.6507,1960,1268,0.0349,,,
mimiciv.hosp.labevents,52024,"Creatinine, Whole Blood",,Blood Gas,mg/dL,numeric,0.4,1.3947,9.7248,1943,1132,0.0312,,,
mimiciv.hosp.labevents,51933,C. diff PCR,,Chemistry,,categorical,,,,1936,1358,0.0374,,,
mimiciv.hosp.labevents,51145,Basophilic Stippling,,Hematology,N/A,categorical,0.0,0.0,0.0,1907,1207,0.0332,,,
