src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
eicu.lab,bedside glucose,bedside glucose,,,mg/dL,numeric,60.0165,138.1475,373.9323,2275585,77974,0.7072,Y,,
eicu.lab,potassium,potassium,,,mmol/L,numeric,2.7566,3.9997,6.0829,1065018,108812,0.9869,Y,,
eicu.lab,sodium,sodium,,,mmol/L,numeric,121.8855,138.8239,155.3377,991978,109166,0.9901,Y,,
eicu.lab,glucose,glucose,,,mg/dL,numeric,64.3387,124.5849,427.0305,934056,108820,0.987,Y,,
eicu.lab,Hgb,Hgb,,,g/dL,numeric,6.3321,9.9772,16.2097,920579,108574,0.9847,Y,,
eicu.lab,chloride,chloride,,,mmol/L,numeric,85.4034,103.9999,122.1991,907279,108688,0.9858,Y,,
eicu.lab,Hct,Hct,,,%,numeric,19.1072,30.5224,48.4893,905005,109054,0.9891,Y,,
eicu.lab,creatinine,creatinine,,,mg/dL,numeric,0.3128,1.0085,8.5351,901029,109168,0.9901,Y,,
eicu.lab,BUN,BUN,,,mg/dL,numeric,3.765,21.6393,112.0977,896094,109131,0.9898,Y,,
eicu.lab,calcium,calcium,,,mg/dL,numeric,6.2988,8.4,10.4039,861453,107122,0.9716,Y,,
eicu.lab,bicarbonate,bicarbonate,,,mmol/L,numeric,11.933,25.0,40.0217,845083,103031,0.9345,Y,,
eicu.lab,platelets x 1000,platelets x 1000,,,K/mcL,numeric,22.0151,194.1101,614.3356,809530,108465,0.9837,Y,,
eicu.lab,WBC x 1000,WBC x 1000,,,K/mcL,numeric,1.7849,10.1944,35.9186,798155,108901,0.9877,Y,,
eicu.lab,RBC,RBC,,,M/mcL,numeric,2.1013,3.4452,5.4934,796295,108309,0.9823,,,
eicu.lab,MCV,MCV,,,fL,numeric,71.5968,90.2449,107.7318,777310,105371,0.9557,,,
eicu.lab,MCHC,MCHC,,,g/dL,numeric,28.9306,32.9789,36.0306,776967,105366,0.9556,,,
eicu.lab,MCH,MCH,,,pg,numeric,22.0838,29.8448,35.9007,742184,100062,0.9075,,,
eicu.lab,RDW,RDW,,,%,numeric,12.1876,15.1877,24.8535,740729,102216,0.9271,,,
eicu.lab,anion gap,anion gap,,,,numeric,2.0278,10.0,25.0793,726026,87344,0.7922,Y,,
eicu.lab,MPV,MPV,,,fL,numeric,6.7027,9.7319,12.9833,530081,72553,0.658,,,
eicu.lab,magnesium,magnesium,,,mg/dL,numeric,1.1703,1.9997,3.1562,466661,85597,0.7763,,,
eicu.lab,-lymphs,-lymphs,,,%,numeric,0.9999,11.2622,50.5874,441455,88243,0.8003,,,
eicu.lab,-monos,-monos,,,%,numeric,0.704,7.6031,19.5925,438053,87548,0.794,,,
eicu.lab,-eos,-eos,,,%,numeric,0.0,1.0,10.5117,409984,87289,0.7917,,,
eicu.lab,-basos,-basos,,,%,numeric,0.0,0.0368,1.9639,392183,85067,0.7715,,,
eicu.lab,-polys,-polys,,,%,numeric,15.8337,76.8981,95.8455,390987,80058,0.7261,,,
eicu.lab,albumin,albumin,,,g/dL,numeric,1.2592,2.7544,4.5111,356149,88604,0.8036,Y,,
eicu.lab,paO2,paO2,,,mm Hg,numeric,36.0044,96.1547,486.0152,328557,59148,0.5365,Y,,
eicu.lab,paCO2,paCO2,,,mm Hg,numeric,20.8372,40.7146,95.0292,324889,58549,0.531,Y,,
eicu.lab,pH,pH,,,,numeric,7.0473,7.3805,7.5621,322260,57966,0.5257,Y,,
eicu.lab,phosphate,phosphate,,,mg/dL,numeric,1.1001,3.1997,8.5789,307142,60248,0.5464,,,
eicu.lab,HCO3,HCO3,,,mmol/L,numeric,9.2892,23.9926,44.551,307115,56185,0.5096,Y,,
eicu.lab,AST (SGOT),AST (SGOT),,,Units/L,numeric,7.9908,31.3706,2294.6243,306669,86982,0.7889,,,
eicu.lab,ALT (SGPT),ALT (SGPT),,,Units/L,numeric,6.2226,28.9845,1782.6067,304916,86504,0.7846,,,
