src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciii.CHARTEVENTS,211,Heart Rate,,,BPM,numeric,51.4583,85.7331,135.1195,2476111,18815,0.9845,Y,,
mimiciii.CHARTEVENTS,742,calprevflg,,,kg,numeric,1.0,1.0,1.0,2462001,18815,0.9845,,,
mimiciii.CHARTEVENTS,646,SpO2,,,%,numeric,87.2615,98.0,100.0,2439167,18814,0.9844,Y,,
mimiciii.CHARTEVENTS,618,Respiratory Rate,,,BPM,numeric,7.8177,19.6875,37.7512,2408175,18803,0.9838,Y,,
mimiciii.CHARTEVENTS,212,Heart Rhythm,,,,categorical,,,,2348171,18815,0.9845,,,
mimiciii.CHARTEVENTS,161,Ectopy Type,,,,categorical,,,,2299521,18813,0.9844,,,
mimiciii.CHARTEVENTS,128,Code Status,,,,categorical,,,,2286550,18289,0.9569,,,
mimiciii.CHARTEVENTS,550,Precautions,,,,categorical,,,,2275816,18165,0.9504,,,
mimiciii.CHARTEVENTS,1125,Service Type,,,,categorical,,,,2082531,17165,0.8981,,,
mimiciii.CHARTEVENTS,159,Ectopy Frequency,,,,categorical,,,,1786561,18668,0.9768,,,
mimiciii.CHARTEVENTS,51,Arterial BP [Systolic],,,mmHg,numeric,69.2983,120.5858,189.8377,1578805,12836,0.6716,Y,,
mimiciii.CHARTEVENTS,8368,Arterial BP [Diastolic],,,mmHg,numeric,33.1663,58.9391,100.2529,1570955,12274,0.6422,Y,,
mimiciii.CHARTEVENTS,1484,Risk for Falls,,,,categorical,,,,1567335,12818,0.6707,,,
mimiciii.CHARTEVENTS,52,Arterial BP Mean,,,mmHg,numeric,49.7153,79.0756,131.5674,1561213,12803,0.6699,,,
mimiciii.CHARTEVENTS,5815,HR Alarm [Low],,,BPM,numeric,39.9979,55.6289,70.4995,1214521,11641,0.6091,,,
mimiciii.CHARTEVENTS,8549,HR Alarm [High],,,BPM,numeric,99.9909,120.0,159.9742,1213020,11641,0.6091,,,
mimiciii.CHARTEVENTS,5820,SpO2 Alarm [Low],,,%,numeric,75.5133,90.0,93.9969,1212293,11630,0.6085,,,
mimiciii.CHARTEVENTS,8554,SpO2 Alarm [High],,,%,numeric,57.0537,100.0,100.0,1207596,11618,0.6079,,,
mimiciii.CHARTEVENTS,5819,Resp Alarm [Low],,,BPM,numeric,5.2934,8.0,31.1,1190376,11519,0.6027,,,
mimiciii.CHARTEVENTS,8553,Resp Alarm [High],,,BPM,numeric,25.1922,35.0,53.04,1188643,11504,0.6019,,,
mimiciii.CHARTEVENTS,581,Previous WeightF,,,kg,numeric,43.2429,82.3012,162.7503,1169677,13662,0.7148,,,
mimiciii.CHARTEVENTS,455,NBP [Systolic],,,mmHg,numeric,75.3966,118.9683,181.2962,1050200,18324,0.9588,Y,,
mimiciii.CHARTEVENTS,8441,NBP [Diastolic],,,mmHg,numeric,26.7487,57.0563,98.8023,1045799,18286,0.9568,Y,,
mimiciii.CHARTEVENTS,456,NBP Mean,,,mmHg,numeric,47.1444,76.3734,119.7659,1033353,18304,0.9577,,,
