src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,already_gold,concept,note
mimiciv.hosp.labevents,50971,Potassium,,Chemistry,mEq/L,numeric,2.9754,4.0877,5.9721,545228,36218,0.9966,Y,,
mimiciv.hosp.labevents,50983,Sodium,,Chemistry,mEq/L,numeric,125.0425,138.6111,154.2462,541967,36218,0.9966,Y,,
mimiciv.hosp.labevents,50902,Chloride,,Chemistry,mEq/L,numeric,86.3456,102.5774,119.9748,533138,36217,0.9966,Y,,
mimiciv.hosp.labevents,50912,Creatinine,,Chemistry,mg/dL,numeric,0.3,0.9979,7.5883,519789,36218,0.9966,Y,,
mimiciv.hosp.labevents,51221,Hematocrit,,Hematology,%,numeric,19.746,28.8475,45.9256,519688,36206,0.9963,Y,,
mimiciv.hosp.labevents,51006,Urea Nitrogen,,Chemistry,mg/dL,numeric,4.0608,21.669,117.8934,518206,36216,0.9966,Y,,
mimiciv.hosp.labevents,50882,Bicarbonate,,Chemistry,mEq/L,numeric,12.7172,24.9857,38.3853,514940,36216,0.9966,Y,,
mimiciv.hosp.labevents,50868,Anion Gap,,Chemistry,mEq/L,numeric,6.0,13.0,25.9025,513101,36216,0.9966,Y,,
mimiciv.hosp.labevents,50931,Glucose,,Chemistry,mg/dL,numeric,65.4862,121.7652,346.9996,505890,36215,0.9966,Y,,
mimiciv.hosp.labevents,50960,Magnesium,,Chemistry,mg/dL,numeric,1.3995,2.0779,3.2052,495420,36171,0.9953,,,
mimiciv.hosp.labevents,51265,Platelet Count,,Hematology,K/uL,numeric,15.6695,192.3568,697.6281,485164,36202,0.9962,Y,,
mimiciv.hosp.labevents,51222,Hemoglobin,,Hematology,g/dL,numeric,6.4361,9.4326,15.282,481938,36201,0.9962,Y,,
mimiciv.hosp.labevents,51301,White Blood Cells,,Hematology,K/uL,numeric,0.7495,10.0514,38.0509,476740,36201,0.9962,Y,,
mimiciv.hosp.labevents,51249,MCHC,,Hematology,g/dL,numeric,28.7053,32.6884,36.5619,475892,36201,0.9962,,,
