method,domain,Recall@1,Recall@5,Recall@10,Precision,Recall,F1,Coverage,UnitViolRate,OpenSet_AUROC,OpenSet_AUPRC,n_fields,n_positive,n_unknown
Exact/normalized name,mimic-iv,37.44,37.44,37.44,98.65,37.44,54.28,12.44,0.0,68.97,100.0,595,195,400
Ontology only (LOINC),mimic-iv,34.87,34.87,34.87,100.0,34.87,51.71,11.43,1.47,67.44,100.0,595,195,400
Name embedding (frozen),mimic-iv,67.69,72.31,72.31,74.58,67.69,70.97,29.75,4.73,83.18,95.93,595,195,400
"FieldCard embedding, no gate",mimic-iv,63.08,78.97,83.08,20.67,63.08,31.14,100.0,8.51,50.0,100.0,595,195,400
Exact/normalized name,mimic-iii,37.65,37.65,37.65,93.0,37.65,53.6,15.46,1.08,68.61,98.14,647,247,400
Ontology only (LOINC),mimic-iii,27.53,27.53,27.53,100.0,27.53,43.17,10.51,2.94,63.77,100.0,647,247,400
Name embedding (frozen),mimic-iii,70.04,73.68,74.09,73.31,70.04,71.64,36.48,3.29,83.04,96.13,647,247,400
"FieldCard embedding, no gate",mimic-iii,66.4,81.78,87.85,25.35,66.4,36.69,100.0,5.87,50.0,100.0,647,247,400
Exact/normalized name,eicu,44.54,44.54,44.54,98.15,44.54,61.27,29.83,0.0,72.69,100.0,181,119,62
Ontology only (LOINC),eicu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,50.0,100.0,181,119,62
Name embedding (frozen),eicu,52.94,62.18,63.03,70.0,52.94,60.29,49.72,6.02,69.42,95.01,181,119,62
"FieldCard embedding, no gate",eicu,58.82,75.63,82.35,38.67,58.82,46.67,100.0,8.33,50.0,100.0,181,119,62
